reqId=2382365774 gap=81ms
reqId=637535515 gap=175ms
reqId=637535686 gap=100ms
reqId=637535923 gap=103ms
reqId=2382366626 gap=121ms
reqId=2382366957 gap=96ms
reqId=637536670 gap=148ms
reqId=637536954 gap=135ms
reqId=2382367545 gap=60ms
reqId=637537046 gap=147ms
reqId=637537239 gap=138ms
reqId=2382367728 gap=121ms
reqId=2382367878 gap=164ms
reqId=637537777 gap=112ms
reqId=2382368703 gap=97ms
reqId=2382368810 gap=94ms
reqId=637538285 gap=133ms
reqId=2986348658 gap=106ms
reqId=637538445 gap=143ms
reqId=637538743 gap=133ms
reqId=2382369189 gap=149ms
reqId=637539416 gap=119ms
reqId=2986350110 gap=121ms
reqId=2986350616 gap=55ms
reqId=637540713 gap=121ms
reqId=2382371255 gap=97ms
reqId=637540938 gap=88ms
reqId=2382371472 gap=111ms
reqId=637541187 gap=149ms
reqId=637541349 gap=79ms
reqId=2382371950 gap=134ms
reqId=637541600 gap=145ms
reqId=637542170 gap=116ms
reqId=2382372844 gap=134ms
reqId=2382372783 gap=162ms
reqId=2986352851 gap=91ms
reqId=637542743 gap=88ms
reqId=2986353080 gap=100ms
reqId=2382373343 gap=144ms
reqId=637543046 gap=135ms
reqId=2986353733 gap=93ms
reqId=2382374401 gap=128ms
reqId=2382374374 gap=138ms
reqId=2986355017 gap=97ms
reqId=637544715 gap=127ms
reqId=2986355490 gap=62ms
reqId=2986355441 gap=139ms
reqId=637545446 gap=91ms
reqId=2382375941 gap=76ms
reqId=2382376000 gap=109ms
reqId=2986356271 gap=122ms
reqId=637546023 gap=126ms
reqId=2382376556 gap=185ms
reqId=2382376845 gap=129ms
reqId=2382377203 gap=110ms
reqId=637547075 gap=71ms
reqId=2986357352 gap=101ms
reqId=637547190 gap=133ms
reqId=2382378357 gap=160ms
reqId=637548246 gap=130ms
reqId=637548299 gap=99ms
reqId=2986358716 gap=83ms
reqId=637548366 gap=131ms
reqId=637548665 gap=132ms
reqId=2382379315 gap=159ms
reqId=2382379798 gap=146ms
reqId=2986359898 gap=111ms
reqId=637549817 gap=88ms
reqId=637549793 gap=108ms
reqId=2986360823 gap=87ms
reqId=2986360705 gap=135ms
reqId=2986360960 gap=151ms
reqId=2382382109 gap=112ms
reqId=637551922 gap=102ms
reqId=2986362105 gap=136ms
reqId=637551993 gap=131ms
reqId=2986362347 gap=152ms
reqId=2986362801 gap=67ms
reqId=2382383088 gap=94ms
reqId=2382383370 gap=86ms
reqId=2382383450 gap=109ms
reqId=2986363194 gap=123ms
reqId=637553314 gap=93ms
reqId=2382383903 gap=115ms
reqId=637553666 gap=127ms
reqId=2382384437 gap=103ms
reqId=2986364345 gap=101ms
reqId=637554293 gap=120ms
reqId=2986364565 gap=172ms
reqId=637555082 gap=101ms
reqId=2986365271 gap=122ms
reqId=2986365651 gap=83ms
reqId=2986365707 gap=114ms
reqId=2986365792 gap=133ms
reqId=2986366070 gap=73ms
reqId=2986366395 gap=99ms
reqId=2382387026 gap=125ms
reqId=2382387742 gap=116ms
reqId=2382387929 gap=104ms
reqId=2382387944 gap=116ms
reqId=637557718 gap=200ms
reqId=2382388385 gap=225ms
reqId=2986368165 gap=224ms
reqId=637558727 gap=63ms
reqId=637558709 gap=101ms
reqId=2986368966 gap=122ms
reqId=2986369086 gap=175ms
reqId=637559050 gap=130ms
reqId=2986369399 gap=135ms
reqId=2382389698 gap=127ms
reqId=637559290 gap=155ms
reqId=2986369844 gap=198ms
reqId=2382390446 gap=133ms
reqId=637560037 gap=122ms
reqId=2382390974 gap=92ms
reqId=2986370969 gap=172ms
reqId=637561054 gap=156ms
reqId=2382391645 gap=292ms
reqId=2986371604 gap=236ms
reqId=2986371636 gap=262ms
reqId=637561826 gap=158ms
reqId=637562135 gap=113ms
reqId=2986372658 gap=128ms
reqId=2382393289 gap=91ms
reqId=2382393428 gap=119ms
reqId=637563148 gap=90ms
reqId=637563550 gap=130ms
reqId=637563745 gap=114ms
reqId=2986374270 gap=119ms
reqId=2382394665 gap=155ms
reqId=2986374888 gap=113ms
reqId=2382395173 gap=145ms
reqId=637565264 gap=107ms
reqId=2986375428 gap=153ms
reqId=2986375607 gap=117ms
reqId=637565248 gap=174ms
reqId=637565455 gap=191ms
reqId=637565803 gap=91ms
reqId=2986376052 gap=146ms
reqId=637565879 gap=117ms
reqId=2382396535 gap=86ms
reqId=2382396578 gap=114ms
reqId=637566082 gap=141ms
reqId=637566628 gap=118ms
reqId=637566950 gap=79ms
reqId=637566881 gap=105ms
reqId=2986377260 gap=116ms
reqId=2986377497 gap=68ms
reqId=637567107 gap=131ms
reqId=637567661 gap=103ms
reqId=2986377861 gap=128ms
reqId=2382398326 gap=136ms
reqId=637568014 gap=127ms
reqId=2986378935 gap=151ms
reqId=637568873 gap=55ms
reqId=637568762 gap=110ms
reqId=2986379187 gap=87ms
reqId=637569062 gap=93ms
reqId=637569257 gap=121ms
reqId=2986380038 gap=128ms
reqId=2382400627 gap=107ms
reqId=2382400679 gap=138ms
reqId=2382400765 gap=156ms
reqId=2986380545 gap=154ms
reqId=2986380787 gap=95ms
reqId=2986380982 gap=71ms
