timestamp,cpu_load,events_per_sec,avg_latency,score
2026-04-26 06:22:27,80%,948.91,1.05,903.72
2026-04-26 06:22:27,90%,880.64,1.13,779.33
2026-04-26 06:54:06,30%,1027.26,0.97,1059.03
2026-04-26 06:54:06,40%,1030.93,0.97,1062.81
2026-04-26 06:54:06,50%,953.50,1.05,908.10
2026-04-26 06:54:06,60%,908.28,1.10,825.71
2026-04-26 06:54:06,70%,1005.76,0.99,1015.92
2026-04-26 06:54:06,80%,863.40,1.16,744.31
2026-04-26 06:54:06,90%,826.46,1.21,683.02
2026-04-26 07:25:44,30%,911.85,1.09,836.56
2026-04-26 07:25:44,40%,989.47,1.01,979.67
2026-04-26 07:25:44,50%,973.61,1.03,945.25
2026-04-26 07:25:44,60%,934.91,1.07,873.75
2026-04-26 07:25:44,70%,940.38,1.06,887.15
2026-04-26 07:25:44,80%,901.23,1.11,811.92
2026-04-26 07:25:44,90%,867.32,1.15,754.19
2026-04-26 07:57:23,30%,1032.45,0.97,1064.38
2026-04-26 07:57:23,40%,1004.97,0.99,1015.12
2026-04-26 07:57:23,50%,979.77,1.02,960.56
2026-04-26 07:57:23,60%,904.17,1.10,821.97
2026-04-26 07:57:23,70%,899.63,1.11,810.48
2026-04-26 07:57:23,80%,931.68,1.07,870.73
2026-04-26 07:57:23,90%,877.39,1.14,769.64
2026-04-26 08:29:01,30%,1019.81,0.98,1040.62
2026-04-26 08:29:01,40%,972.74,1.03,944.41
2026-04-26 08:29:01,50%,1000.09,1.00,1000.09
2026-04-26 08:29:01,60%,953.05,1.05,907.67
2026-04-26 08:29:01,70%,860.51,1.16,741.82
2026-04-26 08:29:01,80%,895.67,1.12,799.71
2026-04-26 08:29:01,90%,831.46,1.20,692.88
2026-04-26 09:00:39,30%,1019.61,0.98,1040.42
2026-04-26 09:00:39,40%,972.37,1.03,944.05
2026-04-26 09:00:39,50%,970.28,1.03,942.02
2026-04-26 09:00:39,60%,936.86,1.07,875.57
2026-04-26 09:00:39,70%,971.53,1.03,943.23
2026-04-26 09:00:39,80%,878.20,1.14,770.35
2026-04-26 09:00:39,90%,826.23,1.21,682.83
2026-04-26 09:32:18,30%,1019.92,0.98,1040.73
2026-04-26 09:32:18,40%,983.63,1.02,964.34
2026-04-26 09:32:18,50%,938.87,1.06,885.73
2026-04-26 09:32:18,60%,917.41,1.09,841.66
2026-04-26 09:32:18,70%,882.80,1.13,781.24
2026-04-26 09:32:18,80%,860.97,1.16,742.22
2026-04-26 09:32:18,90%,895.75,1.12,799.78
2026-04-26 10:03:56,30%,983.76,1.02,964.47
2026-04-26 10:03:56,40%,995.51,1.00,995.51
2026-04-26 10:03:56,50%,954.80,1.05,909.33
2026-04-26 10:03:56,60%,998.43,1.00,998.43
2026-04-26 10:03:56,70%,989.75,1.01,979.95
2026-04-26 10:03:56,80%,869.15,1.15,755.78
2026-04-26 10:03:56,90%,868.01,1.15,754.79
2026-04-26 10:35:34,30%,1035.23,0.96,1078.36
2026-04-26 10:35:34,40%,987.00,1.01,977.23
2026-04-26 10:35:34,50%,972.44,1.03,944.12
2026-04-26 10:35:34,60%,926.23,1.08,857.62
2026-04-26 10:35:34,70%,944.84,1.06,891.36
2026-04-26 10:35:34,80%,887.69,1.13,785.57
2026-04-26 10:35:34,90%,874.84,1.14,767.40
2026-04-26 11:07:13,30%,1057.88,0.94,1125.40
2026-04-26 11:07:13,40%,1031.27,0.97,1063.16
2026-04-26 11:07:13,50%,941.45,1.06,888.16
2026-04-26 11:07:13,60%,936.89,1.07,875.60
2026-04-26 11:07:13,70%,920.11,1.09,844.14
2026-04-26 11:07:13,80%,923.24,1.08,854.85
2026-04-26 11:07:13,90%,841.65,1.19,707.27
2026-04-26 11:38:51,30%,993.91,1.01,984.07
2026-04-26 11:38:51,40%,1011.80,0.99,1022.02
2026-04-26 11:38:51,50%,933.61,1.07,872.53
2026-04-26 11:38:51,60%,905.25,1.10,822.95
2026-04-26 11:38:51,70%,933.36,1.07,872.30
2026-04-26 11:38:51,80%,875.37,1.14,767.87
2026-04-26 11:38:51,90%,821.20,1.22,673.11
2026-04-26 12:10:29,30%,1040.76,0.96,1084.12
2026-04-26 12:10:29,40%,1020.03,0.98,1040.85
2026-04-26 12:10:29,50%,920.15,1.09,844.17
2026-04-26 12:10:29,60%,939.76,1.06,886.57
2026-04-26 12:10:29,70%,910.22,1.10,827.47
2026-04-26 12:10:29,80%,929.61,1.07,868.79
2026-04-26 12:10:29,90%,824.46,1.21,681.37
2026-04-26 12:42:08,30%,1009.75,0.99,1019.95
2026-04-26 12:42:08,40%,985.94,1.01,976.18
2026-04-26 12:42:08,50%,889.94,1.12,794.59
2026-04-26 12:42:08,60%,962.51,1.04,925.49
