timestamp,cpu_load,threads,events_per_sec,avg_latency_ms,score
2026-04-27 06:33:21,30%,8,23825.71,0.34,70075.62
2026-04-27 06:33:21,40%,8,21907.38,0.36,60853.83
2026-04-27 06:33:21,50%,8,20118.91,0.40,50297.27
2026-04-27 06:33:21,60%,8,18369.54,0.43,42719.86
2026-04-27 06:33:21,70%,8,16897.88,0.47,35952.94
2026-04-27 06:33:21,80%,8,15845.12,0.50,31690.24
2026-04-27 06:33:21,90%,8,15747.58,0.51,30877.61
2026-04-27 07:05:55,30%,8,23755.59,0.34,69869.38
2026-04-27 07:05:55,40%,8,21927.88,0.36,60910.78
2026-04-27 07:05:55,50%,8,20082.94,0.40,50207.35
2026-04-27 07:05:55,60%,8,18437.36,0.43,42877.58
2026-04-27 07:05:55,70%,8,17199.30,0.46,37389.78
2026-04-27 07:05:55,80%,8,15962.25,0.50,31924.50
2026-04-27 07:05:55,90%,8,15645.86,0.51,30678.16
2026-04-27 07:38:29,30%,8,23812.23,0.34,70035.97
2026-04-27 07:38:29,40%,8,21834.25,0.37,59011.49
2026-04-27 07:38:29,50%,8,20104.94,0.40,50262.35
2026-04-27 07:38:29,60%,8,18536.47,0.43,43108.07
2026-04-27 07:38:29,70%,8,17141.55,0.47,36471.38
2026-04-27 07:38:29,80%,8,16202.80,0.49,33066.94
2026-04-27 07:38:29,90%,8,15750.50,0.51,30883.33
2026-04-27 08:11:04,30%,8,23759.91,0.34,69882.09
2026-04-27 08:11:04,40%,8,21797.96,0.37,58913.41
2026-04-27 08:11:04,50%,8,20125.77,0.40,50314.42
2026-04-27 08:11:04,60%,8,18421.37,0.43,42840.40
2026-04-27 08:11:04,70%,8,17013.83,0.47,36199.64
2026-04-27 08:11:04,80%,8,15920.84,0.50,31841.68
2026-04-27 08:11:04,90%,8,15694.78,0.51,30774.08
2026-04-27 08:43:38,30%,8,23787.50,0.34,69963.24
2026-04-27 08:43:38,40%,8,21757.84,0.37,58804.97
2026-04-27 08:43:38,50%,8,19926.13,0.40,49815.32
2026-04-27 08:43:38,60%,8,18341.44,0.44,41685.09
2026-04-27 08:43:38,70%,8,16971.76,0.47,36110.13
2026-04-27 08:43:38,80%,8,15886.24,0.50,31772.48
2026-04-27 08:43:38,90%,8,15683.69,0.51,30752.33
2026-04-27 09:16:13,30%,8,23764.66,0.34,69896.06
2026-04-27 09:16:13,40%,8,21846.71,0.37,59045.16
2026-04-27 09:16:13,50%,8,20100.33,0.40,50250.83
2026-04-27 09:16:13,60%,8,18445.40,0.43,42896.28
2026-04-27 09:16:13,70%,8,16941.22,0.47,36045.15
2026-04-27 09:16:13,80%,8,15860.44,0.50,31720.88
2026-04-27 09:16:13,90%,8,15611.18,0.51,30610.16
2026-04-27 09:48:47,30%,8,23772.07,0.34,69917.85
2026-04-27 09:48:47,40%,8,21767.84,0.37,58832.00
2026-04-27 09:48:47,50%,8,20083.03,0.40,50207.57
2026-04-27 09:48:47,60%,8,18476.57,0.43,42968.77
2026-04-27 09:48:47,70%,8,17230.04,0.46,37456.61
2026-04-27 09:48:47,80%,8,15907.02,0.50,31814.04
2026-04-27 09:48:47,90%,8,15705.40,0.51,30794.90
2026-04-27 10:21:21,30%,8,23887.27,0.33,72385.67
2026-04-27 10:21:21,40%,8,21898.52,0.36,60829.22
2026-04-27 10:21:21,50%,8,20138.54,0.40,50346.35
2026-04-27 10:21:21,60%,8,18642.78,0.43,43355.30
2026-04-27 10:21:21,70%,8,17004.71,0.47,36180.23
2026-04-27 10:21:21,80%,8,16026.41,0.50,32052.82
2026-04-27 10:21:21,90%,8,15702.19,0.51,30788.61
2026-04-27 10:53:56,30%,8,23868.95,0.33,72330.15
2026-04-27 10:53:56,40%,8,21950.05,0.36,60972.36
2026-04-27 10:53:56,50%,8,20046.92,0.40,50117.30
2026-04-27 10:53:56,60%,8,18509.98,0.43,43046.47
2026-04-27 10:53:56,70%,8,17128.39,0.47,36443.38
2026-04-27 10:53:56,80%,8,15976.86,0.50,31953.72
2026-04-27 10:53:56,90%,8,15705.46,0.51,30795.02
2026-04-27 11:26:30,30%,8,23779.88,0.34,69940.82
2026-04-27 11:26:30,40%,8,21762.38,0.37,58817.24
2026-04-27 11:26:30,50%,8,19985.18,0.40,49962.95
2026-04-27 11:26:30,60%,8,18610.08,0.43,43279.26
2026-04-27 11:26:30,70%,8,17283.51,0.46,37572.85
2026-04-27 11:26:30,80%,8,15916.69,0.50,31833.38
2026-04-27 11:26:30,90%,8,15708.28,0.51,30800.55
