timestamp,cpu_load,threads,events_per_sec,avg_latency_ms,score
2026-04-28 04:27:59,30%,2,3498.76,0.57,6138.18
2026-04-28 04:27:59,40%,2,3446.06,0.58,5941.48
2026-04-28 04:27:59,50%,2,3175.43,0.63,5040.37
2026-04-28 04:27:59,60%,2,3044.93,0.66,4613.53
2026-04-28 04:27:59,70%,2,2964.14,0.67,4424.09
2026-04-28 04:27:59,80%,2,2824.56,0.71,3978.25
2026-04-28 04:27:59,90%,2,2718.45,0.73,3723.90
2026-04-28 05:00:33,30%,2,3545.10,0.56,6330.54
2026-04-28 05:00:33,40%,2,3124.96,0.64,4882.75
2026-04-28 05:00:33,50%,2,3221.17,0.62,5195.44
2026-04-28 05:00:33,60%,2,3087.00,0.65,4749.23
2026-04-28 05:00:33,70%,2,2963.67,0.67,4423.39
2026-04-28 05:00:33,80%,2,2829.15,0.71,3984.72
2026-04-28 05:00:33,90%,2,2718.82,0.73,3724.41
2026-04-28 05:33:08,30%,2,3502.55,0.57,6144.82
2026-04-28 05:33:08,40%,2,3399.16,0.59,5761.29
2026-04-28 05:33:08,50%,2,3267.40,0.61,5356.39
2026-04-28 05:33:08,60%,2,3101.38,0.64,4845.91
2026-04-28 05:33:08,70%,2,2946.72,0.68,4333.41
2026-04-28 05:33:08,80%,2,2839.63,0.70,4056.61
2026-04-28 05:33:08,90%,2,2690.12,0.74,3635.30
2026-04-28 06:05:42,30%,2,3552.67,0.56,6344.05
2026-04-28 06:05:42,40%,2,3420.40,0.58,5897.24
2026-04-28 06:05:42,50%,2,3253.85,0.61,5334.18
2026-04-28 06:05:42,60%,2,3112.72,0.64,4863.62
2026-04-28 06:05:42,70%,2,2942.19,0.68,4326.75
2026-04-28 06:05:42,80%,2,2862.64,0.70,4089.49
2026-04-28 06:05:42,90%,2,2735.61,0.73,3747.41
2026-04-28 06:38:16,30%,2,3535.26,0.57,6202.21
2026-04-28 06:38:16,40%,2,3309.50,0.60,5515.83
2026-04-28 06:38:16,50%,2,3257.34,0.61,5339.90
2026-04-28 06:38:16,60%,2,3081.81,0.65,4741.25
2026-04-28 06:38:16,70%,2,2953.98,0.68,4344.09
2026-04-28 06:38:16,80%,2,2811.92,0.71,3960.45
2026-04-28 06:38:16,90%,2,2690.25,0.74,3635.47
2026-04-28 07:10:51,30%,2,3505.31,0.57,6149.67
