2026-06-02 06:02:22,285 - INFO - PayloadSize: 128B, Time: 2026-06-02 06:02:22, TargetIP: 47.245.141.68, GapTime: 156.28ms
2026-06-02 06:02:22,442 - INFO - PayloadSize: 512B, Time: 2026-06-02 06:02:22, TargetIP: 47.245.141.68, GapTime: 156.62ms
2026-06-02 06:02:22,598 - INFO - PayloadSize: 1024B, Time: 2026-06-02 06:02:22, TargetIP: 47.245.141.68, GapTime: 155.03ms
2026-06-02 06:02:52,755 - INFO - PayloadSize: 128B, Time: 2026-06-02 06:02:52, TargetIP: 47.245.141.68, GapTime: 156.87ms
2026-06-02 06:02:52,910 - INFO - PayloadSize: 512B, Time: 2026-06-02 06:02:52, TargetIP: 47.245.141.68, GapTime: 153.69ms
2026-06-02 06:02:53,065 - INFO - PayloadSize: 1024B, Time: 2026-06-02 06:02:53, TargetIP: 47.245.141.68, GapTime: 154.50ms
2026-06-02 06:03:23,222 - INFO - PayloadSize: 128B, Time: 2026-06-02 06:03:23, TargetIP: 47.245.141.68, GapTime: 156.66ms
2026-06-02 06:03:23,378 - INFO - PayloadSize: 512B, Time: 2026-06-02 06:03:23, TargetIP: 47.245.141.68, GapTime: 156.11ms
2026-06-02 06:03:23,535 - INFO - PayloadSize: 1024B, Time: 2026-06-02 06:03:23, TargetIP: 47.245.141.68, GapTime: 156.02ms
2026-06-02 06:03:53,693 - INFO - PayloadSize: 128B, Time: 2026-06-02 06:03:53, TargetIP: 47.245.141.68, GapTime: 157.15ms
2026-06-02 06:03:53,846 - INFO - PayloadSize: 512B, Time: 2026-06-02 06:03:53, TargetIP: 47.245.141.68, GapTime: 153.49ms
2026-06-02 06:03:54,003 - INFO - PayloadSize: 1024B, Time: 2026-06-02 06:03:54, TargetIP: 47.245.141.68, GapTime: 155.87ms
2026-06-02 06:04:24,163 - INFO - PayloadSize: 128B, Time: 2026-06-02 06:04:24, TargetIP: 47.245.141.68, GapTime: 159.14ms
2026-06-02 06:04:24,330 - INFO - PayloadSize: 512B, Time: 2026-06-02 06:04:24, TargetIP: 47.245.141.68, GapTime: 166.62ms
2026-06-02 06:04:24,486 - INFO - PayloadSize: 1024B, Time: 2026-06-02 06:04:24, TargetIP: 47.245.141.68, GapTime: 155.48ms
2026-06-02 06:04:54,642 - INFO - PayloadSize: 128B, Time: 2026-06-02 06:04:54, TargetIP: 47.245.141.68, GapTime: 155.35ms
2026-06-02 06:04:54,797 - INFO - PayloadSize: 512B, Time: 2026-06-02 06:04:54, TargetIP: 47.245.141.68, GapTime: 154.72ms
2026-06-02 06:04:54,952 - INFO - PayloadSize: 1024B, Time: 2026-06-02 06:04:54, TargetIP: 47.245.141.68, GapTime: 154.75ms
2026-06-02 06:05:25,108 - INFO - PayloadSize: 128B, Time: 2026-06-02 06:05:25, TargetIP: 47.245.141.68, GapTime: 155.55ms
2026-06-02 06:05:25,265 - INFO - PayloadSize: 512B, Time: 2026-06-02 06:05:25, TargetIP: 47.245.141.68, GapTime: 156.07ms
2026-06-02 06:05:25,422 - INFO - PayloadSize: 1024B, Time: 2026-06-02 06:05:25, TargetIP: 47.245.141.68, GapTime: 156.61ms
2026-06-02 06:05:55,580 - INFO - PayloadSize: 128B, Time: 2026-06-02 06:05:55, TargetIP: 47.245.141.68, GapTime: 157.32ms
2026-06-02 06:05:55,735 - INFO - PayloadSize: 512B, Time: 2026-06-02 06:05:55, TargetIP: 47.245.141.68, GapTime: 154.95ms
2026-06-02 06:05:55,891 - INFO - PayloadSize: 1024B, Time: 2026-06-02 06:05:55, TargetIP: 47.245.141.68, GapTime: 155.12ms
2026-06-02 06:06:26,049 - INFO - PayloadSize: 128B, Time: 2026-06-02 06:06:26, TargetIP: 47.245.141.68, GapTime: 157.92ms
