reqId=4076962476 gap=166ms
reqId=637633333 gap=239ms
reqId=637633412 gap=199ms
reqId=4076962819 gap=164ms
reqId=637633447 gap=232ms
reqId=4076962796 gap=247ms
reqId=637633722 gap=147ms
reqId=637633885 gap=101ms
reqId=4076963859 gap=155ms
reqId=4076964021 gap=176ms
reqId=4076964135 gap=175ms
reqId=637634923 gap=126ms
reqId=4076964524 gap=92ms
reqId=4076964685 gap=120ms
reqId=637635434 gap=100ms
reqId=4076964790 gap=142ms
reqId=637635543 gap=199ms
reqId=637635794 gap=217ms
reqId=637636219 gap=204ms
reqId=4076965721 gap=100ms
reqId=637636526 gap=78ms
reqId=637636773 gap=106ms
reqId=4076966065 gap=97ms
reqId=637637197 gap=153ms
reqId=637637705 gap=102ms
reqId=637637778 gap=57ms
reqId=4076967231 gap=93ms
reqId=637638253 gap=107ms
reqId=4076967836 gap=168ms
reqId=4076967835 gap=190ms
reqId=4076968236 gap=213ms
reqId=4076968654 gap=88ms
reqId=4076968896 gap=52ms
reqId=4076969078 gap=117ms
reqId=637639959 gap=125ms
reqId=4076969487 gap=122ms
reqId=637640458 gap=116ms
reqId=637640599 gap=104ms
reqId=637640693 gap=89ms
reqId=637640818 gap=98ms
reqId=637640928 gap=113ms
reqId=4076970265 gap=107ms
reqId=4076970612 gap=109ms
reqId=4076971277 gap=74ms
reqId=637642500 gap=77ms
reqId=637642639 gap=58ms
reqId=637642850 gap=56ms
reqId=4076972299 gap=50ms
reqId=637642993 gap=67ms
reqId=637643001 gap=63ms
reqId=637643343 gap=68ms
reqId=4076972728 gap=61ms
reqId=637643594 gap=92ms
reqId=4076972919 gap=80ms
reqId=4076973006 gap=121ms
reqId=4076973123 gap=108ms
reqId=637644192 gap=69ms
reqId=4076973620 gap=91ms
reqId=637644450 gap=84ms
reqId=637644707 gap=86ms
reqId=637645049 gap=109ms
reqId=4076974426 gap=91ms
reqId=4076974379 gap=132ms
reqId=637645250 gap=110ms
reqId=4076974675 gap=145ms
reqId=4076974882 gap=326ms
reqId=637646364 gap=68ms
reqId=637646797 gap=126ms
reqId=4076976224 gap=143ms
reqId=4076976234 gap=279ms
reqId=637647257 gap=232ms
reqId=637647383 gap=173ms
reqId=637647452 gap=155ms
reqId=4076977356 gap=63ms
reqId=4076977452 gap=71ms
reqId=637648174 gap=86ms
reqId=637648336 gap=87ms
reqId=637648306 gap=104ms
reqId=637648337 gap=109ms
reqId=4076977603 gap=121ms
reqId=637648333 gap=112ms
reqId=637649208 gap=209ms
reqId=637649388 gap=111ms
reqId=637649657 gap=56ms
reqId=4076978920 gap=74ms
reqId=4076979033 gap=97ms
reqId=637649893 gap=46ms
reqId=4076979182 gap=106ms
reqId=637650172 gap=56ms
reqId=4076979502 gap=89ms
reqId=4076979734 gap=60ms
reqId=637650691 gap=73ms
reqId=637650931 gap=86ms
reqId=637651362 gap=65ms
reqId=637651633 gap=72ms
reqId=4076981017 gap=197ms
reqId=4076981188 gap=252ms
reqId=4076981282 gap=228ms
reqId=637651918 gap=384ms
reqId=4076981493 gap=263ms
reqId=637652533 gap=170ms
reqId=4076982146 gap=154ms
reqId=4076982504 gap=87ms
reqId=4076982651 gap=110ms
reqId=637653505 gap=130ms
reqId=637654089 gap=213ms
reqId=637654605 gap=234ms
reqId=637654798 gap=130ms
reqId=637654604 gap=316ms
reqId=637654872 gap=96ms
reqId=4076984242 gap=68ms
reqId=637654981 gap=44ms
reqId=637655048 gap=101ms
reqId=637655150 gap=94ms
reqId=637655273 gap=82ms
reqId=637655518 gap=108ms
reqId=637655665 gap=87ms
reqId=637655652 gap=116ms
reqId=637655812 gap=90ms
reqId=637656075 gap=86ms
reqId=637656444 gap=72ms
reqId=4076985870 gap=102ms
reqId=4076985973 gap=96ms
reqId=637656962 gap=106ms
reqId=637656972 gap=101ms
reqId=637657145 gap=43ms
reqId=637657531 gap=92ms
reqId=4076986975 gap=109ms
reqId=637657659 gap=132ms
reqId=637657861 gap=63ms
reqId=637657877 gap=92ms
reqId=4076987226 gap=90ms
reqId=637658189 gap=97ms
reqId=4076987722 gap=51ms
reqId=4076987668 gap=79ms
reqId=4076988364 gap=136ms
reqId=4076988887 gap=69ms
reqId=4076989002 gap=63ms
reqId=4076989439 gap=118ms
reqId=637660230 gap=138ms
reqId=637660242 gap=225ms
reqId=4076990042 gap=126ms
reqId=637661197 gap=50ms
reqId=4076990638 gap=45ms
reqId=4076990650 gap=76ms
reqId=4076990751 gap=44ms
reqId=4076990759 gap=57ms
reqId=4076991177 gap=252ms
reqId=637662617 gap=95ms
reqId=4076992000 gap=57ms
reqId=4076992540 gap=140ms
reqId=4076992635 gap=113ms
reqId=637663399 gap=295ms
reqId=637663755 gap=178ms
reqId=637664004 gap=205ms
reqId=4076993119 gap=332ms
reqId=637664223 gap=131ms
reqId=4076993493 gap=155ms
reqId=637664890 gap=101ms
reqId=4076994196 gap=90ms
reqId=4076994166 gap=146ms
reqId=4076994289 gap=161ms
reqId=4076994728 gap=101ms
reqId=4076994844 gap=72ms
reqId=637666397 gap=115ms
reqId=637667217 gap=144ms
reqId=637667255 gap=110ms
reqId=4076996511 gap=132ms
reqId=637667737 gap=121ms
reqId=637667924 gap=68ms
reqId=637668601 gap=74ms
reqId=637668621 gap=77ms
reqId=4076997937 gap=74ms
reqId=4076998546 gap=77ms
reqId=4076998610 gap=57ms
reqId=637670208 gap=88ms
reqId=637670356 gap=65ms
reqId=637670540 gap=52ms
reqId=637670851 gap=62ms
reqId=4077000469 gap=149ms
reqId=637671344 gap=269ms
reqId=637672230 gap=48ms
reqId=4077002091 gap=145ms
reqId=4077002165 gap=122ms
reqId=4077002157 gap=167ms
reqId=637672890 gap=219ms
reqId=637673134 gap=113ms
reqId=4077002423 gap=129ms
reqId=4077002438 gap=136ms
reqId=4077002486 gap=123ms
reqId=4077002548 gap=138ms
reqId=4077002553 gap=138ms
reqId=637673474 gap=62ms
reqId=4077002788 gap=92ms
