reqId=4076863537 gap=152ms
reqId=4076863640 gap=103ms
reqId=4076864063 gap=118ms
reqId=4076864266 gap=122ms
reqId=4076864419 gap=88ms
reqId=4076864412 gap=116ms
reqId=4076864488 gap=88ms
reqId=4076864599 gap=117ms
reqId=4076864863 gap=115ms
reqId=4076865244 gap=86ms
reqId=4076865344 gap=126ms
reqId=4076865551 gap=86ms
reqId=4076865903 gap=79ms
reqId=4076865961 gap=96ms
reqId=4076866240 gap=97ms
reqId=4076866285 gap=78ms
reqId=4076866390 gap=72ms
reqId=4076866406 gap=112ms
reqId=4076867021 gap=90ms
reqId=4076867202 gap=106ms
reqId=4076867764 gap=112ms
reqId=4076867800 gap=108ms
reqId=4076867850 gap=129ms
reqId=4076868081 gap=81ms
reqId=4076868188 gap=113ms
reqId=4076868227 gap=67ms
reqId=4076868448 gap=58ms
reqId=4076868429 gap=112ms
reqId=4076868715 gap=85ms
reqId=4076868731 gap=97ms
reqId=4076868847 gap=74ms
reqId=4076868988 gap=68ms
reqId=4076869011 gap=96ms
reqId=4076869125 gap=102ms
reqId=4076869148 gap=81ms
reqId=4076869177 gap=100ms
reqId=4076869635 gap=130ms
reqId=4076869813 gap=135ms
reqId=4076869955 gap=88ms
reqId=4076870124 gap=69ms
reqId=4076870338 gap=82ms
reqId=4076870437 gap=75ms
reqId=4076870550 gap=100ms
reqId=4076870597 gap=107ms
reqId=4076870978 gap=78ms
reqId=4076871298 gap=61ms
reqId=4076871864 gap=132ms
reqId=4076871898 gap=84ms
reqId=4076871973 gap=105ms
reqId=4076872179 gap=109ms
reqId=4076872245 gap=104ms
reqId=4076872323 gap=113ms
reqId=4076872477 gap=130ms
reqId=4076872522 gap=135ms
reqId=4076872668 gap=91ms
reqId=4076872707 gap=73ms
reqId=4076872714 gap=140ms
reqId=4076872750 gap=102ms
reqId=4076873639 gap=114ms
reqId=4076873648 gap=117ms
reqId=4076874051 gap=89ms
reqId=4076874350 gap=71ms
reqId=4076874725 gap=77ms
reqId=4076874906 gap=84ms
reqId=4076875044 gap=131ms
reqId=4076875101 gap=137ms
reqId=4076875747 gap=106ms
reqId=4076875799 gap=91ms
reqId=4076875957 gap=141ms
reqId=4076876126 gap=138ms
reqId=4076876125 gap=139ms
reqId=4076876197 gap=101ms
reqId=4076876265 gap=105ms
reqId=4076876712 gap=95ms
reqId=4076876725 gap=83ms
reqId=4076876818 gap=96ms
reqId=4076877464 gap=81ms
reqId=4076877491 gap=112ms
reqId=4076877494 gap=109ms
reqId=4076877550 gap=91ms
reqId=4076877657 gap=115ms
reqId=4076878091 gap=89ms
reqId=4076878473 gap=97ms
reqId=4076878715 gap=89ms
reqId=4076878997 gap=113ms
reqId=4076879451 gap=114ms
reqId=4076879500 gap=132ms
reqId=4076879530 gap=136ms
reqId=4076879673 gap=135ms
reqId=4076880226 gap=73ms
reqId=4076880232 gap=106ms
reqId=4076880724 gap=143ms
reqId=4076880812 gap=66ms
reqId=4076880936 gap=122ms
reqId=4076881484 gap=102ms
reqId=4076881511 gap=117ms
reqId=4076881658 gap=78ms
reqId=4076881839 gap=100ms
reqId=4076882519 gap=133ms
reqId=4076882613 gap=75ms
reqId=4076882663 gap=99ms
reqId=4076882716 gap=93ms
reqId=4076883218 gap=135ms
reqId=4076883469 gap=91ms
reqId=4076883588 gap=101ms
reqId=4076883861 gap=97ms
reqId=4076884258 gap=74ms
reqId=4076884773 gap=118ms
reqId=4076884877 gap=107ms
reqId=4076885372 gap=116ms
reqId=4076885377 gap=113ms
reqId=4076885474 gap=67ms
reqId=4076886149 gap=58ms
reqId=4076886154 gap=135ms
reqId=4076886766 gap=133ms
reqId=4076886855 gap=77ms
reqId=4076887008 gap=90ms
reqId=4076887253 gap=98ms
reqId=4076887262 gap=103ms
reqId=4076887723 gap=111ms
reqId=4076887742 gap=103ms
reqId=4076888274 gap=67ms
reqId=4076888293 gap=106ms
reqId=4076888608 gap=84ms
reqId=4076888707 gap=116ms
reqId=4076888801 gap=122ms
reqId=4076888938 gap=116ms
reqId=4076889085 gap=95ms
reqId=4076889199 gap=68ms
reqId=4076889284 gap=127ms
reqId=4076889590 gap=131ms
reqId=4076889768 gap=141ms
reqId=4076890070 gap=86ms
reqId=4076890060 gap=101ms
reqId=4076890308 gap=105ms
reqId=4076890398 gap=88ms
reqId=4076890379 gap=128ms
reqId=4076890559 gap=100ms
reqId=4076890668 gap=102ms
reqId=4076890706 gap=111ms
reqId=4076890730 gap=80ms
reqId=4076890869 gap=65ms
reqId=4076890881 gap=125ms
reqId=4076891419 gap=79ms
reqId=4076891764 gap=111ms
reqId=4076891890 gap=116ms
reqId=4076891928 gap=86ms
reqId=4076891934 gap=97ms
reqId=4076892558 gap=129ms
reqId=4076892572 gap=110ms
reqId=4076892663 gap=82ms
reqId=4076893125 gap=126ms
reqId=4076893520 gap=121ms
reqId=4076893559 gap=111ms
reqId=4076893660 gap=78ms
reqId=4076893802 gap=90ms
reqId=4076893820 gap=104ms
reqId=4076893871 gap=115ms
reqId=4076893952 gap=89ms
reqId=4076893963 gap=71ms
reqId=4076894756 gap=66ms
reqId=4076894744 gap=106ms
reqId=4076895251 gap=131ms
reqId=4076895426 gap=89ms
reqId=4076895672 gap=90ms
reqId=4076895845 gap=108ms
reqId=4076895961 gap=62ms
reqId=4076896030 gap=97ms
reqId=4076896038 gap=92ms
reqId=4076896277 gap=61ms
reqId=4076896760 gap=100ms
reqId=4076897250 gap=102ms
reqId=4076897567 gap=71ms
reqId=4076897846 gap=74ms
reqId=4076897964 gap=100ms
reqId=4076898123 gap=100ms
reqId=4076898141 gap=136ms
reqId=4076898203 gap=96ms
reqId=4076898282 gap=142ms
reqId=4076898533 gap=90ms
reqId=4076898699 gap=94ms
reqId=4076899380 gap=98ms
reqId=4076899378 gap=100ms
reqId=4076899551 gap=118ms
reqId=4076899675 gap=74ms
reqId=4076900855 gap=103ms
reqId=4076900864 gap=90ms
reqId=4076901054 gap=109ms
reqId=4076901649 gap=91ms
reqId=4076901718 gap=100ms
reqId=4076901833 gap=88ms
reqId=4076902007 gap=116ms
reqId=4076902069 gap=111ms
reqId=4076902181 gap=101ms
reqId=4076902326 gap=60ms
reqId=4076902350 gap=130ms
reqId=4076902570 gap=94ms
reqId=4076903417 gap=85ms
reqId=4076903432 gap=104ms
reqId=4076903450 gap=101ms
