reqId=4076864345 gap=45ms
reqId=4076864909 gap=101ms
reqId=4076865050 gap=56ms
reqId=4076865120 gap=90ms
reqId=4076865260 gap=61ms
reqId=4076865529 gap=57ms
reqId=4076865746 gap=63ms
reqId=4076866271 gap=88ms
reqId=4076866740 gap=74ms
reqId=4076866876 gap=115ms
reqId=4076866912 gap=98ms
reqId=4076867344 gap=103ms
reqId=4076867642 gap=55ms
reqId=4076867757 gap=81ms
reqId=4076868183 gap=68ms
reqId=4076868384 gap=70ms
reqId=4076868499 gap=83ms
reqId=4076868520 gap=67ms
reqId=4076868607 gap=86ms
reqId=4076868634 gap=51ms
reqId=4076868979 gap=89ms
reqId=4076869090 gap=74ms
reqId=4076869124 gap=43ms
reqId=4076869287 gap=61ms
reqId=4076869453 gap=66ms
reqId=4076869731 gap=99ms
reqId=4076869864 gap=99ms
reqId=4076869894 gap=107ms
reqId=4076870225 gap=63ms
reqId=4076870967 gap=99ms
reqId=4076870997 gap=79ms
reqId=4076871482 gap=79ms
reqId=4076872215 gap=87ms
reqId=4076872232 gap=58ms
reqId=4076872592 gap=112ms
reqId=4076872703 gap=87ms
reqId=4076872770 gap=83ms
reqId=4076873654 gap=78ms
reqId=4076873713 gap=55ms
reqId=4076874244 gap=77ms
reqId=4076874462 gap=99ms
reqId=4076875100 gap=53ms
reqId=4076875795 gap=85ms
reqId=4076876225 gap=98ms
reqId=4076876406 gap=91ms
reqId=4076876932 gap=68ms
reqId=4076877007 gap=58ms
reqId=4076877042 gap=58ms
reqId=4076877075 gap=81ms
reqId=4076877346 gap=94ms
reqId=4076877372 gap=67ms
reqId=4076877881 gap=81ms
reqId=4076877955 gap=46ms
reqId=4076878157 gap=69ms
reqId=4076878216 gap=55ms
reqId=4076878800 gap=73ms
reqId=4076879015 gap=87ms
reqId=4076879202 gap=96ms
reqId=4076879220 gap=97ms
reqId=4076879744 gap=99ms
reqId=4076880235 gap=99ms
reqId=4076880821 gap=86ms
reqId=4076880956 gap=91ms
reqId=4076881085 gap=81ms
reqId=4076881712 gap=62ms
reqId=4076881951 gap=92ms
reqId=4076882030 gap=43ms
reqId=4076882037 gap=93ms
reqId=4076882557 gap=48ms
reqId=4076882566 gap=55ms
reqId=4076882683 gap=62ms
reqId=4076882752 gap=68ms
reqId=4076883182 gap=77ms
reqId=4076883257 gap=72ms
reqId=4076883244 gap=110ms
reqId=4076883477 gap=89ms
reqId=4076883510 gap=107ms
reqId=4076883908 gap=54ms
reqId=4076884020 gap=98ms
reqId=4076884115 gap=58ms
reqId=4076884175 gap=90ms
reqId=4076884389 gap=72ms
reqId=4076884546 gap=55ms
reqId=4076885410 gap=98ms
reqId=4076885464 gap=58ms
reqId=4076885633 gap=47ms
reqId=4076885669 gap=59ms
reqId=4076885716 gap=51ms
reqId=4076885792 gap=70ms
reqId=4076886051 gap=84ms
reqId=4076886189 gap=53ms
reqId=4076886808 gap=92ms
reqId=4076886984 gap=82ms
reqId=4076887366 gap=115ms
reqId=4076888218 gap=64ms
reqId=4076888327 gap=84ms
reqId=4076888478 gap=86ms
reqId=4076888556 gap=64ms
reqId=4076889025 gap=94ms
reqId=4076889688 gap=70ms
reqId=4076889742 gap=62ms
reqId=4076890166 gap=112ms
reqId=4076890247 gap=93ms
reqId=4076890252 gap=89ms
reqId=4076890741 gap=89ms
reqId=4076891343 gap=111ms
reqId=4076891368 gap=80ms
reqId=4076891511 gap=66ms
reqId=4076891566 gap=95ms
reqId=4076891693 gap=94ms
reqId=4076891752 gap=98ms
reqId=4076892120 gap=71ms
reqId=4076892664 gap=70ms
reqId=4076892720 gap=55ms
reqId=4076892769 gap=99ms
reqId=4076892969 gap=84ms
reqId=4076893527 gap=71ms
reqId=4076894442 gap=80ms
reqId=4076895144 gap=66ms
reqId=4076895226 gap=107ms
reqId=4076895502 gap=49ms
reqId=4076895720 gap=52ms
reqId=4076895732 gap=83ms
reqId=4076895867 gap=81ms
reqId=4076895947 gap=41ms
reqId=4076895933 gap=84ms
reqId=4076896101 gap=102ms
reqId=4076896153 gap=95ms
reqId=4076896190 gap=84ms
reqId=4076896763 gap=82ms
reqId=4076897093 gap=86ms
reqId=4076897141 gap=109ms
reqId=4076897186 gap=74ms
reqId=4076897339 gap=86ms
reqId=4076898229 gap=93ms
reqId=4076898618 gap=73ms
reqId=4076898839 gap=89ms
reqId=4076899283 gap=51ms
reqId=4076899415 gap=55ms
reqId=4076899744 gap=89ms
reqId=4076899810 gap=71ms
reqId=4076899840 gap=62ms
reqId=4076899908 gap=65ms
reqId=4076901141 gap=109ms
reqId=4076901260 gap=84ms
reqId=4076901381 gap=96ms
reqId=4076901444 gap=90ms
reqId=4076901660 gap=50ms
reqId=4076901774 gap=75ms
reqId=4076902066 gap=64ms
reqId=4076902356 gap=53ms
reqId=4076902384 gap=61ms
reqId=4076902387 gap=78ms
reqId=4076902643 gap=78ms
reqId=4076902688 gap=81ms
reqId=4076902858 gap=56ms
reqId=4076903430 gap=98ms
reqId=4076903487 gap=73ms
reqId=4076903532 gap=69ms
reqId=4076903795 gap=97ms
reqId=4076903943 gap=72ms
reqId=4076904049 gap=47ms
reqId=4076904064 gap=93ms
reqId=4076904120 gap=76ms
reqId=4076904400 gap=98ms
reqId=4076904566 gap=69ms
reqId=4076904997 gap=65ms
reqId=4076905267 gap=81ms
reqId=4076905908 gap=63ms
reqId=4076906034 gap=97ms
reqId=4076906121 gap=111ms
reqId=4076906140 gap=101ms
reqId=4076906423 gap=99ms
reqId=4076906492 gap=58ms
reqId=4076906480 gap=112ms
reqId=4076906597 gap=99ms
reqId=4076907094 gap=47ms
reqId=4076907632 gap=90ms
reqId=4076907743 gap=42ms
reqId=4076907891 gap=48ms
reqId=4076907905 gap=49ms
reqId=4076907923 gap=67ms
reqId=4076907917 gap=93ms
reqId=4076908086 gap=44ms
reqId=4076908234 gap=98ms
reqId=4076908324 gap=105ms
reqId=4076908607 gap=117ms
reqId=4076908785 gap=80ms
reqId=4076908775 gap=93ms
reqId=4076908966 gap=70ms
reqId=4076909358 gap=87ms
reqId=4076909453 gap=56ms
reqId=4076909510 gap=74ms
