reqId=637832569 gap=88ms
reqId=2198113749 gap=63ms
reqId=637832791 gap=63ms
reqId=2198114273 gap=118ms
reqId=470061023 gap=134ms
reqId=2198114272 gap=135ms
reqId=470061094 gap=152ms
reqId=3389296862 gap=93ms
reqId=637833999 gap=82ms
reqId=470061840 gap=82ms
reqId=637834272 gap=43ms
reqId=2198115532 gap=102ms
reqId=3389298048 gap=62ms
reqId=3389298068 gap=98ms
reqId=3389298343 gap=242ms
reqId=470062904 gap=213ms
reqId=3389298605 gap=194ms
reqId=637835345 gap=226ms
reqId=2198116362 gap=309ms
reqId=2198116804 gap=250ms
reqId=637835905 gap=231ms
reqId=3389299362 gap=241ms
reqId=2198116880 gap=340ms
reqId=637836034 gap=262ms
reqId=3389299271 gap=386ms
reqId=637836729 gap=104ms
reqId=2198117675 gap=183ms
reqId=637836921 gap=90ms
reqId=2198118196 gap=59ms
reqId=637837243 gap=127ms
reqId=637837489 gap=76ms
reqId=2198118856 gap=57ms
reqId=470065684 gap=86ms
reqId=2198119203 gap=61ms
reqId=2198119657 gap=99ms
reqId=637838641 gap=71ms
reqId=470066613 gap=69ms
reqId=3389302329 gap=109ms
reqId=3389302395 gap=91ms
reqId=2198120049 gap=97ms
reqId=2198120414 gap=94ms
reqId=3389302709 gap=108ms
reqId=637839167 gap=146ms
reqId=3389303069 gap=116ms
reqId=470067854 gap=104ms
reqId=637840313 gap=106ms
reqId=3389303934 gap=115ms
reqId=637841158 gap=85ms
reqId=637841195 gap=101ms
reqId=637841251 gap=115ms
reqId=2198122678 gap=69ms
reqId=2198122934 gap=87ms
reqId=3389305446 gap=90ms
reqId=2198123353 gap=62ms
reqId=470070153 gap=84ms
reqId=470070442 gap=77ms
reqId=3389306252 gap=51ms
reqId=2198124183 gap=96ms
reqId=3389306498 gap=103ms
reqId=637843513 gap=110ms
reqId=3389307057 gap=97ms
reqId=637843835 gap=45ms
reqId=470071714 gap=80ms
reqId=637844061 gap=75ms
reqId=3389307446 gap=93ms
reqId=3389307642 gap=78ms
reqId=2198125623 gap=99ms
reqId=470072356 gap=109ms
reqId=470072945 gap=102ms
reqId=2198126762 gap=82ms
reqId=2198126644 gap=127ms
reqId=3389309074 gap=94ms
reqId=637846115 gap=85ms
reqId=2198127597 gap=102ms
reqId=637846595 gap=95ms
reqId=470074391 gap=111ms
reqId=470074625 gap=118ms
reqId=637847138 gap=102ms
reqId=637847632 gap=72ms
reqId=2198128618 gap=108ms
reqId=2198128629 gap=120ms
reqId=2198128795 gap=105ms
reqId=470075579 gap=105ms
reqId=470075770 gap=79ms
reqId=637848061 gap=99ms
reqId=637847961 gap=127ms
reqId=637848174 gap=63ms
reqId=637848190 gap=55ms
reqId=637848050 gap=115ms
reqId=470076081 gap=94ms
reqId=470076316 gap=70ms
reqId=3389312388 gap=92ms
reqId=2198130353 gap=81ms
reqId=470077276 gap=64ms
reqId=3389312836 gap=73ms
reqId=2198130795 gap=76ms
reqId=470077749 gap=69ms
reqId=637850184 gap=119ms
reqId=3389313730 gap=77ms
reqId=637850381 gap=110ms
reqId=470078703 gap=79ms
reqId=2198132000 gap=75ms
reqId=470078821 gap=97ms
reqId=470078883 gap=78ms
reqId=470079028 gap=93ms
reqId=637851248 gap=78ms
reqId=470079171 gap=99ms
reqId=3389314794 gap=92ms
reqId=637851381 gap=91ms
reqId=637851537 gap=69ms
reqId=637851580 gap=96ms
reqId=3389315358 gap=134ms
reqId=3389315612 gap=307ms
reqId=637852895 gap=355ms
reqId=3389316073 gap=458ms
reqId=470080763 gap=392ms
reqId=470081562 gap=272ms
reqId=2198134833 gap=292ms
reqId=2198134895 gap=265ms
reqId=470081577 gap=343ms
reqId=470082212 gap=51ms
reqId=3389317619 gap=186ms
reqId=637854645 gap=52ms
reqId=2198135913 gap=58ms
reqId=3389318526 gap=92ms
reqId=3389318577 gap=75ms
reqId=2198136331 gap=57ms
reqId=3389318778 gap=92ms
reqId=2198136395 gap=118ms
reqId=3389318956 gap=93ms
reqId=470083634 gap=136ms
reqId=3389319258 gap=127ms
reqId=637855997 gap=104ms
reqId=3389319739 gap=71ms
reqId=3389320007 gap=106ms
reqId=637856687 gap=116ms
reqId=470084803 gap=63ms
reqId=470085331 gap=81ms
reqId=470086158 gap=111ms
reqId=637858476 gap=113ms
reqId=637859116 gap=66ms
reqId=2198140510 gap=128ms
reqId=637859658 gap=126ms
reqId=3389323346 gap=135ms
reqId=2198141274 gap=162ms
reqId=470088342 gap=150ms
reqId=2198141538 gap=185ms
reqId=2198141404 gap=252ms
reqId=470088583 gap=201ms
reqId=3389324247 gap=212ms
reqId=637861026 gap=352ms
reqId=3389324541 gap=366ms
reqId=637861263 gap=333ms
reqId=637861520 gap=275ms
reqId=470089603 gap=256ms
reqId=3389325214 gap=263ms
reqId=3389325554 gap=300ms
reqId=470090078 gap=291ms
reqId=637862335 gap=284ms
reqId=470089977 gap=513ms
reqId=637862443 gap=314ms
reqId=3389326084 gap=320ms
reqId=470090584 gap=277ms
reqId=3389327218 gap=69ms
reqId=470091680 gap=98ms
reqId=470091985 gap=86ms
reqId=470092971 gap=91ms
reqId=470093031 gap=59ms
reqId=3389328697 gap=77ms
reqId=470093400 gap=44ms
reqId=470094080 gap=77ms
reqId=470094090 gap=87ms
reqId=3389329905 gap=94ms
reqId=470094432 gap=105ms
reqId=470094809 gap=49ms
reqId=470094874 gap=91ms
reqId=470095426 gap=59ms
reqId=470095436 gap=56ms
reqId=470095587 gap=85ms
reqId=3389331366 gap=53ms
reqId=3389331771 gap=96ms
reqId=3389332206 gap=70ms
reqId=3389332288 gap=54ms
reqId=3389332324 gap=107ms
reqId=3389332468 gap=108ms
