reqId=4077033066 gap=142ms
reqId=2197985015 gap=141ms
reqId=2197985179 gap=120ms
reqId=4077034109 gap=183ms
reqId=2197985935 gap=173ms
reqId=4077034188 gap=192ms
reqId=4077034349 gap=188ms
reqId=4077034634 gap=107ms
reqId=4077034698 gap=127ms
reqId=637705830 gap=106ms
reqId=4077035210 gap=162ms
reqId=637705971 gap=145ms
reqId=2197987097 gap=250ms
reqId=2197987397 gap=237ms
reqId=2197987574 gap=181ms
reqId=2197987714 gap=181ms
reqId=2197987560 gap=246ms
reqId=2197987623 gap=218ms
reqId=2197988104 gap=191ms
reqId=637707386 gap=200ms
reqId=2197988995 gap=114ms
reqId=4077037318 gap=99ms
reqId=2197989120 gap=165ms
reqId=2197989331 gap=108ms
reqId=637708516 gap=122ms
reqId=2197989688 gap=116ms
reqId=637708811 gap=111ms
reqId=2197989958 gap=210ms
reqId=4077038404 gap=234ms
reqId=637709260 gap=234ms
reqId=637709434 gap=276ms
reqId=2197991319 gap=174ms
reqId=637710635 gap=155ms
reqId=637710559 gap=203ms
reqId=2197992227 gap=62ms
reqId=4077040239 gap=158ms
reqId=4077040406 gap=71ms
reqId=2197992309 gap=141ms
reqId=637711159 gap=177ms
reqId=4077040529 gap=148ms
reqId=637711557 gap=112ms
reqId=637711664 gap=139ms
reqId=637711863 gap=145ms
reqId=4077041681 gap=139ms
reqId=637712840 gap=89ms
reqId=2197993909 gap=154ms
reqId=4077042178 gap=122ms
reqId=637712932 gap=170ms
reqId=2197994199 gap=121ms
reqId=2197995430 gap=70ms
reqId=637714320 gap=98ms
reqId=4077043556 gap=115ms
reqId=2197995587 gap=131ms
reqId=2197995786 gap=160ms
reqId=2197995937 gap=110ms
reqId=637714820 gap=126ms
reqId=2197996112 gap=147ms
reqId=2197996636 gap=131ms
reqId=4077044910 gap=157ms
reqId=2197997381 gap=75ms
reqId=2197997428 gap=117ms
reqId=2197997334 gap=157ms
reqId=2197997797 gap=113ms
reqId=637716824 gap=128ms
reqId=2197998676 gap=132ms
reqId=4077046939 gap=156ms
reqId=4077046989 gap=151ms
reqId=4077047079 gap=112ms
reqId=4077047241 gap=137ms
reqId=2197999439 gap=97ms
reqId=2197999385 gap=122ms
reqId=4077048086 gap=56ms
reqId=2197999705 gap=144ms
reqId=637719225 gap=139ms
reqId=4077048576 gap=122ms
reqId=4077048548 gap=134ms
reqId=637719564 gap=61ms
reqId=4077048851 gap=122ms
reqId=637719690 gap=117ms
reqId=2198000749 gap=131ms
reqId=2198001513 gap=116ms
reqId=2198001655 gap=118ms
reqId=637720693 gap=153ms
reqId=637720945 gap=96ms
reqId=2198002334 gap=111ms
reqId=4077050514 gap=117ms
reqId=637721562 gap=78ms
reqId=637721594 gap=122ms
reqId=637721811 gap=166ms
reqId=637722060 gap=78ms
reqId=4077051327 gap=145ms
reqId=4077051690 gap=102ms
reqId=637722329 gap=147ms
reqId=2198003622 gap=130ms
reqId=637722495 gap=172ms
reqId=4077051949 gap=159ms
reqId=637723067 gap=131ms
reqId=2198004171 gap=144ms
reqId=637723627 gap=130ms
reqId=2198005097 gap=184ms
reqId=637724133 gap=228ms
reqId=637724464 gap=119ms
reqId=637724628 gap=119ms
reqId=637724899 gap=186ms
reqId=2198006523 gap=86ms
reqId=4077054827 gap=107ms
reqId=4077054908 gap=131ms
reqId=637725658 gap=117ms
reqId=637725825 gap=101ms
reqId=637725768 gap=146ms
reqId=2198007782 gap=127ms
reqId=637726882 gap=145ms
reqId=2198008083 gap=112ms
reqId=4077056570 gap=131ms
reqId=4077056747 gap=102ms
reqId=4077056732 gap=171ms
reqId=637728186 gap=126ms
reqId=2198009425 gap=137ms
reqId=2198009481 gap=171ms
reqId=637728529 gap=172ms
reqId=2198009908 gap=144ms
reqId=637728997 gap=109ms
reqId=2198009930 gap=193ms
reqId=2198010490 gap=96ms
reqId=637729485 gap=126ms
reqId=2198010438 gap=182ms
reqId=4077058705 gap=151ms
reqId=4077058873 gap=126ms
reqId=637729962 gap=179ms
reqId=2198011415 gap=127ms
reqId=2198011309 gap=200ms
reqId=637730598 gap=113ms
reqId=2198011791 gap=81ms
reqId=637730637 gap=177ms
reqId=637731170 gap=99ms
reqId=2198012559 gap=81ms
reqId=2198012659 gap=156ms
reqId=2198013161 gap=120ms
reqId=637732063 gap=126ms
reqId=2198013311 gap=55ms
reqId=4077061528 gap=168ms
reqId=2198013562 gap=100ms
reqId=4077061938 gap=73ms
reqId=4077061867 gap=124ms
reqId=637732614 gap=149ms
reqId=4077062313 gap=91ms
reqId=2198014194 gap=123ms
reqId=637733137 gap=169ms
reqId=4077062664 gap=124ms
reqId=637733391 gap=168ms
reqId=637733730 gap=115ms
reqId=2198014723 gap=162ms
reqId=4077063360 gap=97ms
reqId=4077063500 gap=133ms
reqId=4077063551 gap=110ms
reqId=4077063887 gap=87ms
reqId=637734705 gap=146ms
reqId=2198016191 gap=126ms
reqId=4077064812 gap=112ms
reqId=2198016838 gap=118ms
reqId=2198017053 gap=133ms
reqId=637736408 gap=110ms
reqId=637736461 gap=139ms
reqId=4077065857 gap=190ms
reqId=637736795 gap=175ms
reqId=2198018194 gap=214ms
reqId=637737592 gap=156ms
reqId=637737557 gap=177ms
reqId=4077067371 gap=73ms
reqId=2198019087 gap=125ms
reqId=637738958 gap=136ms
reqId=4077068319 gap=153ms
reqId=2198020349 gap=98ms
reqId=4077068588 gap=138ms
reqId=637739404 gap=161ms
reqId=2198020478 gap=172ms
reqId=2198020939 gap=137ms
reqId=4077069169 gap=117ms
reqId=4077069268 gap=122ms
reqId=2198021151 gap=153ms
reqId=2198021475 gap=122ms
reqId=637740901 gap=133ms
reqId=637741261 gap=151ms
reqId=4077071231 gap=229ms
reqId=2198023214 gap=163ms
reqId=2198023330 gap=117ms
reqId=637742590 gap=181ms
reqId=2198023897 gap=103ms
reqId=637743018 gap=138ms
reqId=4077072312 gap=132ms
reqId=637743173 gap=177ms
reqId=2198024538 gap=157ms
reqId=4077073104 gap=135ms
reqId=2198024949 gap=181ms
reqId=4077073163 gap=234ms
reqId=2198025150 gap=214ms
reqId=637744050 gap=219ms
reqId=4077073606 gap=154ms
reqId=2198025394 gap=162ms
reqId=2198025481 gap=120ms
