reqId=4076863566 gap=232ms
reqId=4076863746 gap=143ms
reqId=4076863870 gap=158ms
reqId=4076863944 gap=105ms
reqId=4076864109 gap=142ms
reqId=4076864764 gap=137ms
reqId=4076865190 gap=178ms
reqId=4076865350 gap=136ms
reqId=4076865801 gap=166ms
reqId=4076865941 gap=210ms
reqId=4076866087 gap=148ms
reqId=4076866163 gap=71ms
reqId=4076866197 gap=101ms
reqId=4076866445 gap=95ms
reqId=4076866562 gap=105ms
reqId=4076866581 gap=129ms
reqId=4076866589 gap=158ms
reqId=4076866978 gap=125ms
reqId=4076867045 gap=118ms
reqId=4076867159 gap=148ms
reqId=4076867575 gap=168ms
reqId=4076867673 gap=89ms
reqId=4076867691 gap=163ms
reqId=4076867911 gap=88ms
reqId=4076868437 gap=178ms
reqId=4076868705 gap=165ms
reqId=4076869595 gap=216ms
reqId=4076870061 gap=107ms
reqId=4076870103 gap=145ms
reqId=4076870362 gap=149ms
reqId=4076870356 gap=214ms
reqId=4076870814 gap=122ms
reqId=4076870799 gap=173ms
reqId=4076870858 gap=115ms
reqId=4076871161 gap=176ms
reqId=4076871221 gap=187ms
reqId=4076871400 gap=117ms
reqId=4076871493 gap=182ms
reqId=4076871769 gap=91ms
reqId=4076871734 gap=218ms
reqId=4076871920 gap=148ms
reqId=4076871954 gap=194ms
reqId=4076872087 gap=216ms
reqId=4076872502 gap=118ms
reqId=4076872504 gap=170ms
reqId=4076872633 gap=197ms
reqId=4076873250 gap=91ms
reqId=4076873349 gap=219ms
reqId=4076873445 gap=169ms
reqId=4076873578 gap=177ms
reqId=4076873622 gap=153ms
reqId=4076873707 gap=93ms
reqId=4076873881 gap=147ms
reqId=4076874271 gap=181ms
reqId=4076874486 gap=207ms
reqId=4076875145 gap=111ms
reqId=4076875442 gap=185ms
reqId=4076875511 gap=103ms
reqId=4076875590 gap=125ms
reqId=4076875836 gap=189ms
reqId=4076875923 gap=168ms
reqId=4076876013 gap=219ms
reqId=4076876172 gap=174ms
reqId=4076876285 gap=171ms
reqId=4076876703 gap=200ms
reqId=4076876708 gap=194ms
reqId=4076876858 gap=105ms
reqId=4076876849 gap=174ms
reqId=4076876891 gap=195ms
reqId=4076877582 gap=79ms
reqId=4076877681 gap=184ms
reqId=4076878415 gap=124ms
reqId=4076878492 gap=124ms
reqId=4076878647 gap=200ms
reqId=4076878787 gap=104ms
reqId=4076878774 gap=186ms
reqId=4076878850 gap=146ms
reqId=4076878937 gap=65ms
reqId=4076879517 gap=73ms
reqId=4076879594 gap=92ms
reqId=4076879632 gap=117ms
reqId=4076880014 gap=178ms
reqId=4076880301 gap=88ms
reqId=4076880263 gap=175ms
reqId=4076880372 gap=163ms
reqId=4076880785 gap=135ms
reqId=4076881095 gap=155ms
reqId=4076881524 gap=134ms
reqId=4076881875 gap=177ms
reqId=4076881983 gap=83ms
reqId=4076882528 gap=170ms
reqId=4076882646 gap=128ms
reqId=4076882697 gap=72ms
reqId=4076882873 gap=208ms
reqId=4076882912 gap=183ms
reqId=4076883038 gap=181ms
reqId=4076883943 gap=161ms
reqId=4076884609 gap=218ms
reqId=4076884690 gap=206ms
reqId=4076885971 gap=205ms
reqId=4076886102 gap=134ms
reqId=4076886367 gap=177ms
reqId=4076886556 gap=60ms
reqId=4076886603 gap=125ms
reqId=4076886629 gap=151ms
reqId=4076886682 gap=147ms
reqId=4076886796 gap=152ms
reqId=4076886999 gap=208ms
reqId=4076887093 gap=121ms
reqId=4076887215 gap=162ms
reqId=4076887648 gap=83ms
reqId=4076887753 gap=95ms
reqId=4076888071 gap=64ms
reqId=4076888797 gap=200ms
reqId=4076888831 gap=210ms
reqId=4076889120 gap=68ms
reqId=4076889171 gap=174ms
reqId=4076889273 gap=119ms
reqId=4076889702 gap=219ms
reqId=4076890142 gap=134ms
reqId=4076890317 gap=117ms
reqId=4076890340 gap=180ms
reqId=4076890566 gap=66ms
reqId=4076890809 gap=73ms
reqId=4076891155 gap=87ms
reqId=4076891234 gap=107ms
reqId=4076891458 gap=155ms
reqId=4076891881 gap=72ms
reqId=4076891900 gap=109ms
reqId=4076892079 gap=82ms
reqId=4076892151 gap=108ms
reqId=4076892438 gap=112ms
reqId=4076892561 gap=140ms
reqId=4076892692 gap=157ms
reqId=4076892727 gap=176ms
reqId=4076893006 gap=138ms
reqId=4076893114 gap=141ms
reqId=4076893599 gap=114ms
reqId=4076893878 gap=146ms
reqId=4076894191 gap=85ms
reqId=4076894622 gap=207ms
reqId=4076894766 gap=179ms
reqId=4076895008 gap=129ms
reqId=4076895085 gap=189ms
reqId=4076895246 gap=140ms
reqId=4076895590 gap=78ms
reqId=4076895837 gap=164ms
reqId=4076896060 gap=116ms
reqId=4076896402 gap=144ms
reqId=4076896546 gap=184ms
reqId=4076897390 gap=179ms
reqId=4076897592 gap=110ms
reqId=4076897668 gap=136ms
reqId=4076897691 gap=141ms
reqId=4076897791 gap=152ms
reqId=4076898775 gap=138ms
reqId=4076899135 gap=101ms
reqId=4076899338 gap=112ms
reqId=4076899532 gap=89ms
reqId=4076899563 gap=161ms
reqId=4076899556 gap=216ms
reqId=4076899668 gap=133ms
reqId=4076899975 gap=99ms
reqId=4076900078 gap=187ms
reqId=4076900256 gap=112ms
reqId=4076900433 gap=157ms
reqId=4076900773 gap=157ms
reqId=4076900847 gap=109ms
reqId=4076901416 gap=125ms
reqId=4076901412 gap=195ms
reqId=4076902183 gap=185ms
reqId=4076902317 gap=66ms
reqId=4076902583 gap=123ms
reqId=4076902817 gap=217ms
reqId=4076902866 gap=204ms
reqId=4076902917 gap=131ms
reqId=4076902934 gap=216ms
reqId=4076903069 gap=128ms
reqId=4076903214 gap=172ms
reqId=4076903601 gap=213ms
reqId=4076903895 gap=188ms
reqId=4076903981 gap=117ms
reqId=4076904257 gap=130ms
reqId=4076904384 gap=99ms
reqId=4076904661 gap=120ms
reqId=4076904874 gap=63ms
reqId=4076904837 gap=113ms
reqId=4076904814 gap=163ms
reqId=4076904947 gap=160ms
reqId=4076905152 gap=80ms
reqId=4076905111 gap=142ms
reqId=4076905403 gap=95ms
reqId=4076905355 gap=170ms
reqId=4076906359 gap=198ms
reqId=4076906415 gap=148ms
reqId=4076906587 gap=108ms
reqId=4076906683 gap=179ms
reqId=4076906811 gap=95ms
reqId=4076906763 gap=164ms
