time,ip,status,avg_rtt_ms
2026-04-27 16:09:36,34.48.113.182,UP,2.332
2026-04-27 16:09:45,198.199.67.247,UP,7.075
2026-04-27 16:09:54,47.90.140.166,UP,0.681
2026-04-27 16:10:03,35.234.103.240,UP,85.928
2026-04-27 16:10:13,134.122.75.45,UP,90.157
2026-04-27 16:10:22,47.245.143.155,UP,101.554
2026-04-27 16:10:31,34.94.91.108,UP,64.256
2026-04-27 16:10:40,64.227.92.19,UP,70.017
2026-04-27 16:10:49,47.89.252.104,UP,59.553
2026-04-27 16:10:58,35.200.105.130,UP,148.377
2026-04-27 16:11:07,157.230.41.239,UP,228.761
2026-04-27 16:11:17,47.238.70.228,UP,214.638
2026-04-27 16:11:26,34.39.96.45,UP,75.902
2026-04-27 16:11:35,46.101.47.75,UP,76.370
2026-04-27 16:11:44,8.208.34.84,UP,81.214
2026-04-27 16:41:53,34.48.113.182,UP,2.526
2026-04-27 16:42:02,198.199.67.247,UP,7.170
2026-04-27 16:42:11,47.90.140.166,UP,0.689
2026-04-27 16:42:20,35.234.103.240,UP,86.727
2026-04-27 16:42:29,134.122.75.45,UP,91.190
2026-04-27 16:42:38,47.245.143.155,UP,101.548
2026-04-27 16:42:47,34.94.91.108,UP,62.460
2026-04-27 16:42:57,64.227.92.19,UP,70.040
2026-04-27 16:43:06,47.89.252.104,UP,59.557
2026-04-27 16:43:15,35.200.105.130,UP,147.896
2026-04-27 16:43:24,157.230.41.239,UP,228.644
2026-04-27 16:43:33,47.238.70.228,UP,204.949
2026-04-27 16:43:42,34.39.96.45,UP,76.349
2026-04-27 16:43:51,46.101.47.75,UP,76.290
2026-04-27 16:44:01,8.208.34.84,UP,81.224
2026-04-27 17:14:10,34.48.113.182,UP,2.470
2026-04-27 17:14:19,198.199.67.247,UP,7.108
2026-04-27 17:14:28,47.90.140.166,UP,0.673
2026-04-27 17:14:37,35.234.103.240,UP,85.920
2026-04-27 17:14:46,134.122.75.45,UP,90.170
2026-04-27 17:14:55,47.245.143.155,UP,101.555
2026-04-27 17:15:04,34.94.91.108,UP,63.801
2026-04-27 17:15:13,64.227.92.19,UP,70.004
2026-04-27 17:15:22,47.89.252.104,UP,59.556
2026-04-27 17:15:31,35.200.105.130,UP,150.142
2026-04-27 17:15:41,157.230.41.239,UP,228.721
2026-04-27 17:15:50,47.238.70.228,UP,204.942
2026-04-27 17:15:59,34.39.96.45,UP,75.606
2026-04-27 17:16:08,46.101.47.75,UP,76.297
2026-04-27 17:16:17,8.208.34.84,UP,81.215
2026-04-27 17:46:26,34.48.113.182,UP,2.701
2026-04-27 17:46:35,198.199.67.247,UP,7.069
2026-04-27 17:46:44,47.90.140.166,UP,0.675
2026-04-27 17:46:54,35.234.103.240,UP,86.425
2026-04-27 17:47:03,134.122.75.45,UP,90.175
2026-04-27 17:47:12,47.245.143.155,UP,101.551
2026-04-27 17:47:21,34.94.91.108,UP,64.204
2026-04-27 17:47:30,64.227.92.19,UP,70.044
2026-04-27 17:47:39,47.89.252.104,UP,59.565
2026-04-27 17:47:48,35.200.105.130,UP,150.608
2026-04-27 17:47:57,157.230.41.239,UP,228.695
2026-04-27 17:48:07,47.238.70.228,UP,204.941
2026-04-27 17:48:16,34.39.96.45,UP,76.873
2026-04-27 17:48:25,46.101.47.75,UP,76.303
2026-04-27 17:48:34,8.208.34.84,UP,81.222
2026-04-27 18:18:43,34.48.113.182,UP,2.254
2026-04-27 18:18:52,198.199.67.247,UP,7.143
2026-04-27 18:19:01,47.90.140.166,UP,0.688
2026-04-27 18:19:10,35.234.103.240,UP,88.111
2026-04-27 18:19:19,134.122.75.45,UP,90.207
2026-04-27 18:19:28,47.245.143.155,UP,101.556
2026-04-27 18:19:38,34.94.91.108,UP,62.220
2026-04-27 18:19:47,64.227.92.19,UP,69.994
2026-04-27 18:19:56,47.89.252.104,UP,59.566
2026-04-27 18:20:05,35.200.105.130,UP,147.486
2026-04-27 18:20:14,157.230.41.239,UP,229.508
2026-04-27 18:20:23,47.238.70.228,UP,204.987
2026-04-27 18:20:32,34.39.96.45,UP,75.332
2026-04-27 18:20:42,46.101.47.75,UP,76.340
2026-04-27 18:20:51,8.208.34.84,UP,81.217
2026-04-27 18:51:00,34.48.113.182,UP,2.541
2026-04-27 18:51:09,198.199.67.247,UP,7.122
2026-04-27 18:51:18,47.90.140.166,UP,0.681
2026-04-27 18:51:27,35.234.103.240,UP,88.070
2026-04-27 18:51:36,134.122.75.45,UP,90.151
2026-04-27 18:51:45,47.245.143.155,UP,101.552
2026-04-27 18:51:54,34.94.91.108,UP,60.682
2026-04-27 18:52:03,64.227.92.19,UP,73.928
2026-04-27 18:52:12,47.89.252.104,UP,59.561
2026-04-27 18:52:22,35.200.105.130,UP,150.119
2026-04-27 18:52:31,157.230.41.239,UP,228.743
2026-04-27 18:52:40,47.238.70.228,UP,204.931
2026-04-27 18:52:49,34.39.96.45,UP,75.935
2026-04-27 18:52:58,46.101.47.75,UP,76.414
2026-04-27 18:53:07,8.208.34.84,UP,81.225
2026-04-27 19:23:16,34.48.113.182,UP,2.619
2026-04-27 19:23:25,198.199.67.247,UP,7.199
2026-04-27 19:23:35,47.90.140.166,UP,0.674
2026-04-27 19:23:44,35.234.103.240,UP,88.376
2026-04-27 19:23:53,134.122.75.45,UP,90.143
2026-04-27 19:24:02,47.245.143.155,UP,101.548
2026-04-27 19:24:11,34.94.91.108,UP,63.414
2026-04-27 19:24:20,64.227.92.19,UP,73.935
2026-04-27 19:24:29,47.89.252.104,UP,59.552
2026-04-27 19:24:38,35.200.105.130,UP,146.969
2026-04-27 19:24:48,157.230.41.239,UP,228.744
2026-04-27 19:24:57,47.238.70.228,UP,204.928
2026-04-27 19:25:06,34.39.96.45,UP,75.163
2026-04-27 19:25:15,46.101.47.75,UP,76.445
2026-04-27 19:25:24,8.208.34.84,UP,81.216
2026-04-27 19:55:33,34.48.113.182,UP,2.542
2026-04-27 19:55:42,198.199.67.247,UP,7.095
2026-04-27 19:55:51,47.90.140.166,UP,0.678
2026-04-27 19:56:00,35.234.103.240,UP,88.021
2026-04-27 19:56:10,134.122.75.45,UP,90.176
2026-04-27 19:56:19,47.245.143.155,UP,101.553
2026-04-27 19:56:28,34.94.91.108,UP,63.916
