time,ip,status,avg_rtt_ms
2026-04-27 16:13:48,34.48.113.182,UP,79.388
2026-04-27 16:13:57,198.199.67.247,UP,74.251
2026-04-27 16:14:06,47.90.140.166,UP,81.212
2026-04-27 16:14:15,35.234.103.240,UP,16.185
2026-04-27 16:14:24,134.122.75.45,UP,13.462
2026-04-27 16:14:33,47.245.143.155,UP,16.076
2026-04-27 16:14:42,34.94.91.108,UP,138.844
2026-04-27 16:14:51,64.227.92.19,UP,136.338
2026-04-27 16:15:00,47.89.252.104,UP,148.233
2026-04-27 16:15:10,35.200.105.130,UP,223.587
2026-04-27 16:15:19,157.230.41.239,UP,163.776
2026-04-27 16:15:28,47.238.70.228,UP,168.495
2026-04-27 16:15:37,34.39.96.45,UP,5.336
2026-04-27 16:15:46,46.101.47.75,UP,3.082
2026-04-27 16:15:55,8.208.34.84,UP,0.824
2026-04-27 16:46:04,34.48.113.182,UP,80.005
2026-04-27 16:46:13,198.199.67.247,UP,74.283
2026-04-27 16:46:23,47.90.140.166,UP,81.216
2026-04-27 16:46:32,35.234.103.240,UP,16.161
2026-04-27 16:46:41,134.122.75.45,UP,13.465
2026-04-27 16:46:50,47.245.143.155,UP,16.073
2026-04-27 16:46:59,34.94.91.108,UP,138.976
2026-04-27 16:47:08,64.227.92.19,UP,136.322
2026-04-27 16:47:17,47.89.252.104,UP,148.234
2026-04-27 16:47:26,35.200.105.130,UP,223.202
2026-04-27 16:47:36,157.230.41.239,UP,163.743
2026-04-27 16:47:45,47.238.70.228,UP,168.513
2026-04-27 16:47:54,34.39.96.45,UP,4.626
2026-04-27 16:48:03,46.101.47.75,UP,3.111
2026-04-27 16:48:12,8.208.34.84,UP,0.838
2026-04-27 17:18:21,34.48.113.182,UP,78.943
2026-04-27 17:18:30,198.199.67.247,UP,74.239
2026-04-27 17:18:39,47.90.140.166,UP,81.220
2026-04-27 17:18:48,35.234.103.240,UP,15.851
2026-04-27 17:18:57,134.122.75.45,UP,13.879
2026-04-27 17:19:06,47.245.143.155,UP,16.077
2026-04-27 17:19:15,34.94.91.108,UP,138.802
2026-04-27 17:19:25,64.227.92.19,UP,136.365
2026-04-27 17:19:34,47.89.252.104,UP,148.225
2026-04-27 17:19:43,35.200.105.130,UP,220.883
2026-04-27 17:19:52,157.230.41.239,UP,163.776
2026-04-27 17:20:01,47.238.70.228,UP,168.522
2026-04-27 17:20:10,34.39.96.45,UP,5.018
2026-04-27 17:20:19,46.101.47.75,UP,3.136
2026-04-27 17:20:29,8.208.34.84,UP,0.837
2026-04-27 17:50:38,34.48.113.182,UP,80.157
2026-04-27 17:50:47,198.199.67.247,UP,74.240
2026-04-27 17:50:56,47.90.140.166,UP,81.229
2026-04-27 17:51:05,35.234.103.240,UP,16.384
2026-04-27 17:51:14,134.122.75.45,UP,13.478
2026-04-27 17:51:23,47.245.143.155,UP,16.098
2026-04-27 17:51:32,34.94.91.108,UP,138.855
2026-04-27 17:51:41,64.227.92.19,UP,136.312
2026-04-27 17:51:50,47.89.252.104,UP,148.230
2026-04-27 17:52:00,35.200.105.130,UP,221.841
2026-04-27 17:52:09,157.230.41.239,UP,164.251
2026-04-27 17:52:18,47.238.70.228,UP,168.513
2026-04-27 17:52:27,34.39.96.45,UP,5.295
2026-04-27 17:52:36,46.101.47.75,UP,3.112
2026-04-27 17:52:45,8.208.34.84,UP,0.843
2026-04-27 18:22:54,34.48.113.182,UP,79.684
2026-04-27 18:23:04,198.199.67.247,UP,74.310
2026-04-27 18:23:13,47.90.140.166,UP,81.217
2026-04-27 18:23:22,35.234.103.240,UP,16.653
2026-04-27 18:23:31,134.122.75.45,UP,13.467
2026-04-27 18:23:40,47.245.143.155,UP,16.090
2026-04-27 18:23:49,34.94.91.108,UP,139.033
2026-04-27 18:23:58,64.227.92.19,UP,136.329
2026-04-27 18:24:07,47.89.252.104,UP,148.234
2026-04-27 18:24:16,35.200.105.130,UP,221.343
2026-04-27 18:24:26,157.230.41.239,UP,163.884
2026-04-27 18:24:35,47.238.70.228,UP,168.517
2026-04-27 18:24:44,34.39.96.45,UP,5.117
2026-04-27 18:24:53,46.101.47.75,UP,3.111
2026-04-27 18:25:02,8.208.34.84,UP,0.839
2026-04-27 18:55:11,34.48.113.182,UP,80.246
2026-04-27 18:55:20,198.199.67.247,UP,74.332
2026-04-27 18:55:29,47.90.140.166,UP,81.223
2026-04-27 18:55:38,35.234.103.240,UP,16.121
2026-04-27 18:55:47,134.122.75.45,UP,14.091
2026-04-27 18:55:56,47.245.143.155,UP,16.092
2026-04-27 18:56:06,34.94.91.108,UP,139.030
2026-04-27 18:56:15,64.227.92.19,UP,136.303
2026-04-27 18:56:24,47.89.252.104,UP,148.236
2026-04-27 18:56:33,35.200.105.130,UP,224.069
2026-04-27 18:56:42,157.230.41.239,UP,163.804
2026-04-27 18:56:51,47.238.70.228,UP,168.518
2026-04-27 18:57:00,34.39.96.45,UP,4.556
2026-04-27 18:57:09,46.101.47.75,UP,3.146
2026-04-27 18:57:19,8.208.34.84,UP,0.832
2026-04-27 19:27:28,34.48.113.182,UP,80.298
2026-04-27 19:27:37,198.199.67.247,UP,74.262
2026-04-27 19:27:46,47.90.140.166,UP,81.220
2026-04-27 19:27:55,35.234.103.240,UP,16.148
2026-04-27 19:28:04,134.122.75.45,UP,13.488
2026-04-27 19:28:13,47.245.143.155,UP,16.101
2026-04-27 19:28:22,34.94.91.108,UP,138.959
2026-04-27 19:28:31,64.227.92.19,UP,136.360
2026-04-27 19:28:41,47.89.252.104,UP,148.231
2026-04-27 19:28:50,35.200.105.130,UP,220.841
2026-04-27 19:28:59,157.230.41.239,UP,163.787
2026-04-27 19:29:08,47.238.70.228,UP,168.488
2026-04-27 19:29:17,34.39.96.45,UP,4.678
2026-04-27 19:29:26,46.101.47.75,UP,3.085
2026-04-27 19:29:35,8.208.34.84,UP,0.841
2026-04-27 19:59:44,34.48.113.182,UP,79.399
2026-04-27 19:59:54,198.199.67.247,UP,74.246
2026-04-27 20:00:03,47.90.140.166,UP,81.228
2026-04-27 20:00:12,35.234.103.240,UP,15.954
2026-04-27 20:00:21,134.122.75.45,UP,13.470
2026-04-27 20:00:30,47.245.143.155,UP,16.154
2026-04-27 20:00:39,34.94.91.108,UP,138.967
2026-04-27 20:00:48,64.227.92.19,UP,136.336
2026-04-27 20:00:57,47.89.252.104,UP,148.233
2026-04-27 20:01:06,35.200.105.130,UP,219.461
2026-04-27 20:01:16,157.230.41.239,UP,163.817
2026-04-27 20:01:25,47.238.70.228,UP,168.505
2026-04-27 20:01:34,34.39.96.45,UP,5.266
2026-04-27 20:01:43,46.101.47.75,UP,3.060
2026-04-27 20:01:52,8.208.34.84,UP,0.833
2026-04-27 20:32:01,34.48.113.182,UP,80.258
2026-04-27 20:32:10,198.199.67.247,UP,74.278
2026-04-27 20:32:19,47.90.140.166,UP,81.208
2026-04-27 20:32:28,35.234.103.240,UP,16.171
2026-04-27 20:32:37,134.122.75.45,UP,13.701
2026-04-27 20:32:46,47.245.143.155,UP,16.100
2026-04-27 20:32:56,34.94.91.108,UP,139.987
2026-04-27 20:33:05,64.227.92.19,UP,136.355
2026-04-27 20:33:14,47.89.252.104,UP,148.230
2026-04-27 20:33:23,35.200.105.130,UP,219.724
2026-04-27 20:33:32,157.230.41.239,UP,163.796
2026-04-27 20:33:41,47.238.70.228,UP,168.515
2026-04-27 20:33:50,34.39.96.45,UP,5.212
2026-04-27 20:34:00,46.101.47.75,UP,3.073
2026-04-27 20:34:09,8.208.34.84,UP,0.832
2026-04-27 21:04:18,34.48.113.182,UP,80.905
2026-04-27 21:04:27,198.199.67.247,UP,74.413
2026-04-27 21:04:36,47.90.140.166,UP,81.222
2026-04-27 21:04:45,35.234.103.240,UP,15.852
2026-04-27 21:04:54,134.122.75.45,UP,13.992
2026-04-27 21:05:03,47.245.143.155,UP,16.092
2026-04-27 21:05:12,34.94.91.108,UP,139.239
2026-04-27 21:05:21,64.227.92.19,UP,136.346
2026-04-27 21:05:31,47.89.252.104,UP,148.232
2026-04-27 21:05:40,35.200.105.130,UP,221.257
2026-04-27 21:05:49,157.230.41.239,UP,163.819
2026-04-27 21:05:58,47.238.70.228,UP,168.472
2026-04-27 21:06:07,34.39.96.45,UP,5.563
2026-04-27 21:06:16,46.101.47.75,UP,3.078
2026-04-27 21:06:25,8.208.34.84,UP,0.835
2026-04-27 21:36:35,34.48.113.182,UP,80.118
2026-04-27 21:36:44,198.199.67.247,UP,74.258
2026-04-27 21:36:53,47.90.140.166,UP,81.214
2026-04-27 21:37:02,35.234.103.240,UP,16.158
2026-04-27 21:37:11,134.122.75.45,UP,13.539
2026-04-27 21:37:20,47.245.143.155,UP,16.088
2026-04-27 21:37:29,34.94.91.108,UP,139.142
2026-04-27 21:37:38,64.227.92.19,UP,136.336
2026-04-27 21:37:47,47.89.252.104,UP,148.218
2026-04-27 21:37:56,35.200.105.130,UP,221.053
2026-04-27 21:38:06,157.230.41.239,UP,163.894
2026-04-27 21:38:15,47.238.70.228,UP,168.556
2026-04-27 21:38:24,34.39.96.45,UP,4.704
2026-04-27 21:38:33,46.101.47.75,UP,3.103
2026-04-27 21:38:42,8.208.34.84,UP,0.847
2026-04-27 22:08:51,34.48.113.182,UP,79.817
2026-04-27 22:09:00,198.199.67.247,UP,74.276
2026-04-27 22:09:09,47.90.140.166,UP,81.223
2026-04-27 22:09:18,35.234.103.240,UP,16.145
2026-04-27 22:09:27,134.122.75.45,UP,13.517
2026-04-27 22:09:36,47.245.143.155,UP,16.077
2026-04-27 22:09:46,34.94.91.108,UP,138.964
2026-04-27 22:09:55,64.227.92.19,UP,136.352
2026-04-27 22:10:04,47.89.252.104,UP,148.218
2026-04-27 22:10:13,35.200.105.130,UP,220.471
2026-04-27 22:10:22,157.230.41.239,UP,163.832
2026-04-27 22:10:32,47.238.70.228,UP,168.501
2026-04-27 22:10:41,34.39.96.45,UP,4.628
2026-04-27 22:10:50,46.101.47.75,UP,3.102
2026-04-27 22:10:59,8.208.34.84,UP,0.838
2026-04-27 22:41:08,34.48.113.182,UP,80.421
2026-04-27 22:41:17,198.199.67.247,UP,74.257
2026-04-27 22:41:26,47.90.140.166,UP,81.215
2026-04-27 22:41:35,35.234.103.240,UP,16.108
2026-04-27 22:41:44,134.122.75.45,UP,13.465
2026-04-27 22:41:53,47.245.143.155,UP,16.075
2026-04-27 22:42:02,34.94.91.108,UP,139.400
2026-04-27 22:42:11,64.227.92.19,UP,136.397
2026-04-27 22:42:21,47.89.252.104,UP,148.225
2026-04-27 22:42:30,35.200.105.130,UP,221.382
2026-04-27 22:42:39,157.230.41.239,UP,164.142
2026-04-27 22:42:48,47.238.70.228,UP,168.497
2026-04-27 22:42:57,34.39.96.45,UP,5.165
2026-04-27 22:43:06,46.101.47.75,UP,3.075
2026-04-27 22:43:15,8.208.34.84,UP,0.840
2026-04-27 23:13:25,34.48.113.182,UP,80.000
2026-04-27 23:13:34,198.199.67.247,UP,74.254
2026-04-27 23:13:43,47.90.140.166,UP,81.216
2026-04-27 23:13:52,35.234.103.240,UP,16.027
2026-04-27 23:14:01,134.122.75.45,UP,13.562
2026-04-27 23:14:10,47.245.143.155,UP,16.083
2026-04-27 23:14:19,34.94.91.108,UP,138.953
2026-04-27 23:14:28,64.227.92.19,UP,136.359
2026-04-27 23:14:37,47.89.252.104,UP,148.225
2026-04-27 23:14:47,35.200.105.130,UP,218.201
2026-04-27 23:14:56,157.230.41.239,UP,163.827
2026-04-27 23:15:05,47.238.70.228,UP,168.500
2026-04-27 23:15:14,34.39.96.45,UP,5.042
2026-04-27 23:15:23,46.101.47.75,UP,3.077
2026-04-27 23:15:32,8.208.34.84,UP,0.836
2026-04-27 23:45:41,34.48.113.182,UP,80.456
2026-04-27 23:45:50,198.199.67.247,UP,74.563
2026-04-27 23:45:59,47.90.140.166,UP,81.216
2026-04-27 23:46:08,35.234.103.240,UP,16.036
2026-04-27 23:46:17,134.122.75.45,UP,13.484
2026-04-27 23:46:27,47.245.143.155,UP,16.093
2026-04-27 23:46:36,34.94.91.108,UP,139.393
2026-04-27 23:46:45,64.227.92.19,UP,136.341
2026-04-27 23:46:54,47.89.252.104,UP,148.233
2026-04-27 23:47:03,35.200.105.130,UP,221.375
2026-04-27 23:47:12,157.230.41.239,UP,163.819
2026-04-27 23:47:22,47.238.70.228,UP,168.476
2026-04-27 23:47:31,34.39.96.45,UP,5.056
2026-04-27 23:47:40,46.101.47.75,UP,3.083
2026-04-27 23:47:49,8.208.34.84,UP,0.835
2026-04-28 00:17:58,34.48.113.182,UP,79.876
2026-04-28 00:18:07,198.199.67.247,UP,74.284
2026-04-28 00:18:16,47.90.140.166,UP,81.210
2026-04-28 00:18:25,35.234.103.240,UP,16.151
2026-04-28 00:18:34,134.122.75.45,UP,13.491
2026-04-28 00:18:43,47.245.143.155,UP,16.086
2026-04-28 00:18:52,34.94.91.108,UP,139.074
2026-04-28 00:19:02,64.227.92.19,UP,136.303
2026-04-28 00:19:11,47.89.252.104,UP,148.224
2026-04-28 00:19:20,35.200.105.130,UP,222.997
2026-04-28 00:19:29,157.230.41.239,UP,163.779
2026-04-28 00:19:38,47.238.70.228,UP,168.509
2026-04-28 00:19:47,34.39.96.45,UP,5.025
2026-04-28 00:19:56,46.101.47.75,UP,3.050
2026-04-28 00:20:06,8.208.34.84,UP,0.829
2026-04-28 00:50:15,34.48.113.182,UP,79.390
2026-04-28 00:50:24,198.199.67.247,UP,74.285
2026-04-28 00:50:33,47.90.140.166,UP,81.222
2026-04-28 00:50:42,35.234.103.240,UP,16.270
2026-04-28 00:50:51,134.122.75.45,UP,13.477
2026-04-28 00:51:00,47.245.143.155,UP,16.092
2026-04-28 00:51:09,34.94.91.108,UP,139.836
2026-04-28 00:51:18,64.227.92.19,UP,136.337
2026-04-28 00:51:27,47.89.252.104,UP,148.224
2026-04-28 00:51:37,35.200.105.130,UP,221.852
2026-04-28 00:51:46,157.230.41.239,UP,163.742
2026-04-28 00:51:55,47.238.70.228,UP,168.503
2026-04-28 00:52:04,34.39.96.45,UP,5.308
2026-04-28 00:52:13,46.101.47.75,UP,3.071
2026-04-28 00:52:22,8.208.34.84,UP,0.832
2026-04-28 01:22:31,34.48.113.182,UP,79.622
2026-04-28 01:22:40,198.199.67.247,UP,74.274
2026-04-28 01:22:49,47.90.140.166,UP,81.218
2026-04-28 01:22:59,35.234.103.240,UP,15.998
2026-04-28 01:23:08,134.122.75.45,UP,13.482
2026-04-28 01:23:17,47.245.143.155,UP,16.090
2026-04-28 01:23:26,34.94.91.108,UP,139.846
2026-04-28 01:23:35,64.227.92.19,UP,136.312
2026-04-28 01:23:44,47.89.252.104,UP,148.222
2026-04-28 01:23:53,35.200.105.130,UP,219.686
2026-04-28 01:24:02,157.230.41.239,UP,163.778
2026-04-28 01:24:12,47.238.70.228,UP,168.494
2026-04-28 01:24:21,34.39.96.45,UP,5.305
2026-04-28 01:24:30,46.101.47.75,UP,3.149
2026-04-28 01:24:39,8.208.34.84,UP,0.842
2026-04-28 01:54:48,34.48.113.182,UP,79.785
2026-04-28 01:54:57,198.199.67.247,UP,74.242
2026-04-28 01:55:06,47.90.140.166,UP,81.218
2026-04-28 01:55:15,35.234.103.240,UP,15.987
2026-04-28 01:55:24,134.122.75.45,UP,13.463
2026-04-28 01:55:33,47.245.143.155,UP,16.082
2026-04-28 01:55:42,34.94.91.108,UP,139.204
2026-04-28 01:55:52,64.227.92.19,UP,136.336
2026-04-28 01:56:01,47.89.252.104,UP,148.228
2026-04-28 01:56:10,35.200.105.130,UP,221.032
2026-04-28 01:56:19,157.230.41.239,UP,163.820
2026-04-28 01:56:28,47.238.70.228,UP,168.510
2026-04-28 01:56:37,34.39.96.45,UP,4.469
2026-04-28 01:56:46,46.101.47.75,UP,3.075
2026-04-28 01:56:56,8.208.34.84,UP,0.837
2026-04-28 02:27:05,34.48.113.182,UP,79.759
2026-04-28 02:27:14,198.199.67.247,UP,74.323
2026-04-28 02:27:23,47.90.140.166,UP,81.222
2026-04-28 02:27:32,35.234.103.240,UP,16.038
2026-04-28 02:27:41,134.122.75.45,UP,13.433
2026-04-28 02:27:50,47.245.143.155,UP,16.092
2026-04-28 02:27:59,34.94.91.108,UP,139.698
2026-04-28 02:28:08,64.227.92.19,UP,136.341
2026-04-28 02:28:17,47.89.252.104,UP,148.279
2026-04-28 02:28:27,35.200.105.130,UP,222.800
2026-04-28 02:28:36,157.230.41.239,UP,163.800
2026-04-28 02:28:45,47.238.70.228,UP,167.855
2026-04-28 02:28:54,34.39.96.45,UP,4.421
2026-04-28 02:29:03,46.101.47.75,UP,3.083
2026-04-28 02:29:12,8.208.34.84,UP,0.841
2026-04-28 02:59:21,34.48.113.182,UP,79.002
2026-04-28 02:59:30,198.199.67.247,UP,74.247
2026-04-28 02:59:40,47.90.140.166,UP,81.226
2026-04-28 02:59:49,35.234.103.240,UP,16.115
2026-04-28 02:59:58,134.122.75.45,UP,13.451
2026-04-28 03:00:07,47.245.143.155,UP,16.086
2026-04-28 03:00:16,34.94.91.108,UP,139.667
2026-04-28 03:00:25,64.227.92.19,UP,136.336
2026-04-28 03:00:34,47.89.252.104,UP,148.229
2026-04-28 03:00:43,35.200.105.130,UP,219.880
