time,ip,status,avg_rtt_ms
2026-04-27 08:35:59,34.48.113.182,UP,63.373
2026-04-27 08:36:08,198.199.67.247,UP,70.089
2026-04-27 08:36:17,47.90.140.166,UP,62.566
2026-04-27 08:36:26,35.234.103.240,UP,147.330
2026-04-27 08:36:35,134.122.75.45,UP,149.666
2026-04-27 08:36:44,47.245.143.155,UP,148.048
2026-04-27 08:36:53,34.94.91.108,UP,2.692
2026-04-27 08:37:02,64.227.92.19,UP,9.590
2026-04-27 08:37:11,47.89.252.104,UP,10.577
2026-04-27 08:37:21,35.200.105.130,UP,101.263
2026-04-27 08:37:30,157.230.41.239,UP,163.630
2026-04-27 08:37:39,47.238.70.228,UP,220.568
2026-04-27 08:37:48,34.39.96.45,UP,136.134
2026-04-27 08:37:57,46.101.47.75,UP,136.273
2026-04-27 08:38:07,8.208.34.84,UP,138.940
2026-04-27 09:08:16,34.48.113.182,UP,61.819
2026-04-27 09:08:25,198.199.67.247,UP,70.858
2026-04-27 09:08:34,47.90.140.166,UP,63.875
2026-04-27 09:08:43,35.234.103.240,UP,147.540
2026-04-27 09:08:52,134.122.75.45,UP,149.712
2026-04-27 09:09:01,47.245.143.155,UP,148.276
2026-04-27 09:09:10,34.94.91.108,UP,2.409
2026-04-27 09:09:19,64.227.92.19,UP,9.055
2026-04-27 09:09:28,47.89.252.104,UP,10.357
2026-04-27 09:09:38,35.200.105.130,UP,100.978
2026-04-27 09:09:47,157.230.41.239,UP,163.925
2026-04-27 09:09:56,47.238.70.228,UP,208.748
2026-04-27 09:10:05,34.39.96.45,UP,136.127
2026-04-27 09:10:14,46.101.47.75,UP,137.645
2026-04-27 09:10:23,8.208.34.84,UP,138.893
2026-04-27 09:40:33,34.48.113.182,UP,62.900
2026-04-27 09:40:42,198.199.67.247,UP,69.492
2026-04-27 09:40:51,47.90.140.166,UP,64.012
2026-04-27 09:41:00,35.234.103.240,UP,147.119
2026-04-27 09:41:09,134.122.75.45,UP,150.509
2026-04-27 09:41:18,47.245.143.155,UP,147.333
2026-04-27 09:41:27,34.94.91.108,UP,2.328
2026-04-27 09:41:36,64.227.92.19,UP,9.717
2026-04-27 09:41:45,47.89.252.104,UP,10.121
2026-04-27 09:41:54,35.200.105.130,UP,101.293
2026-04-27 09:42:04,157.230.41.239,UP,163.596
2026-04-27 09:42:13,47.238.70.228,UP,220.008
2026-04-27 09:42:22,34.39.96.45,UP,136.679
2026-04-27 09:42:31,46.101.47.75,UP,137.270
2026-04-27 09:42:40,8.208.34.84,UP,139.039
2026-04-27 10:12:49,34.48.113.182,UP,63.517
2026-04-27 10:12:59,198.199.67.247,UP,70.997
2026-04-27 10:13:08,47.90.140.166,UP,65.596
2026-04-27 10:13:17,35.234.103.240,UP,148.742
2026-04-27 10:13:26,134.122.75.45,UP,150.880
2026-04-27 10:13:35,47.245.143.155,UP,147.449
2026-04-27 10:13:44,34.94.91.108,UP,2.477
2026-04-27 10:13:53,64.227.92.19,UP,9.274
2026-04-27 10:14:02,47.89.252.104,UP,9.800
2026-04-27 10:14:11,35.200.105.130,UP,101.027
2026-04-27 10:14:21,157.230.41.239,UP,165.086
2026-04-27 10:14:30,47.238.70.228,UP,221.025
2026-04-27 10:14:39,34.39.96.45,UP,136.767
2026-04-27 10:14:48,46.101.47.75,UP,136.277
2026-04-27 10:14:57,8.208.34.84,UP,138.925
2026-04-27 10:45:06,34.48.113.182,UP,63.289
2026-04-27 10:45:15,198.199.67.247,UP,69.458
2026-04-27 10:45:25,47.90.140.166,UP,61.089
2026-04-27 10:45:34,35.234.103.240,UP,147.283
2026-04-27 10:45:43,134.122.75.45,UP,148.728
2026-04-27 10:45:52,47.245.143.155,UP,149.296
2026-04-27 10:46:01,34.94.91.108,UP,2.443
2026-04-27 10:46:10,64.227.92.19,UP,9.799
2026-04-27 10:46:19,47.89.252.104,UP,10.183
2026-04-27 10:46:28,35.200.105.130,UP,101.242
2026-04-27 10:46:37,157.230.41.239,UP,164.596
2026-04-27 10:46:47,47.238.70.228,UP,221.144
2026-04-27 10:46:56,34.39.96.45,UP,136.962
2026-04-27 10:47:05,46.101.47.75,UP,136.298
2026-04-27 10:47:14,8.208.34.84,UP,138.801
2026-04-27 11:17:23,34.48.113.182,UP,62.172
2026-04-27 11:17:32,198.199.67.247,UP,70.762
2026-04-27 11:17:41,47.90.140.166,UP,62.978
