time,ip,status,avg_rtt_ms
2026-04-27 08:33:46,34.48.113.182,UP,0.912
2026-04-27 08:33:55,198.199.67.247,UP,7.123
2026-04-27 08:34:04,47.90.140.166,UP,2.682
2026-04-27 08:34:13,35.234.103.240,UP,86.532
2026-04-27 08:34:22,134.122.75.45,UP,89.144
2026-04-27 08:34:31,47.245.143.155,UP,86.291
2026-04-27 08:34:40,34.94.91.108,UP,63.362
2026-04-27 08:34:49,64.227.92.19,UP,61.066
2026-04-27 08:34:59,47.89.252.104,UP,63.114
2026-04-27 08:35:08,35.200.105.130,UP,146.921
2026-04-27 08:35:17,157.230.41.239,UP,216.673
2026-04-27 08:35:26,47.238.70.228,UP,196.786
2026-04-27 08:35:35,34.39.96.45,UP,75.221
2026-04-27 08:35:44,46.101.47.75,UP,75.677
2026-04-27 08:35:53,8.208.34.84,UP,79.039
2026-04-27 09:06:03,34.48.113.182,UP,1.496
2026-04-27 09:06:12,198.199.67.247,UP,9.601
2026-04-27 09:06:21,47.90.140.166,UP,2.773
2026-04-27 09:06:30,35.234.103.240,UP,87.047
2026-04-27 09:06:39,134.122.75.45,UP,88.815
2026-04-27 09:06:48,47.245.143.155,UP,86.710
2026-04-27 09:06:57,34.94.91.108,UP,61.593
2026-04-27 09:07:06,64.227.92.19,UP,61.381
2026-04-27 09:07:15,47.89.252.104,UP,63.054
2026-04-27 09:07:24,35.200.105.130,UP,146.819
2026-04-27 09:07:34,157.230.41.239,UP,225.560
2026-04-27 09:07:43,47.238.70.228,UP,199.428
2026-04-27 09:07:52,34.39.96.45,UP,77.047
2026-04-27 09:08:01,46.101.47.75,UP,77.480
2026-04-27 09:08:10,8.208.34.84,UP,79.844
2026-04-27 09:38:19,34.48.113.182,UP,0.846
2026-04-27 09:38:28,198.199.67.247,UP,7.906
2026-04-27 09:38:37,47.90.140.166,UP,2.322
2026-04-27 09:38:47,35.234.103.240,UP,86.909
2026-04-27 09:38:56,134.122.75.45,UP,88.279
2026-04-27 09:39:05,47.245.143.155,UP,86.264
2026-04-27 09:39:14,34.94.91.108,UP,63.306
2026-04-27 09:39:23,64.227.92.19,UP,61.218
2026-04-27 09:39:32,47.89.252.104,UP,62.969
2026-04-27 09:39:41,35.200.105.130,UP,144.235
2026-04-27 09:39:50,157.230.41.239,UP,215.001
2026-04-27 09:40:00,47.238.70.228,UP,197.059
2026-04-27 09:40:09,34.39.96.45,UP,75.322
2026-04-27 09:40:18,46.101.47.75,UP,76.496
2026-04-27 09:40:27,8.208.34.84,UP,79.245
2026-04-27 10:10:36,34.48.113.182,UP,1.283
2026-04-27 10:10:45,198.199.67.247,UP,7.269
2026-04-27 10:10:54,47.90.140.166,UP,2.367
2026-04-27 10:11:03,35.234.103.240,UP,88.682
2026-04-27 10:11:12,134.122.75.45,UP,90.741
2026-04-27 10:11:21,47.245.143.155,UP,88.936
2026-04-27 10:11:31,34.94.91.108,UP,64.549
2026-04-27 10:11:40,64.227.92.19,UP,60.607
2026-04-27 10:11:49,47.89.252.104,UP,63.576
2026-04-27 10:11:58,35.200.105.130,UP,144.770
2026-04-27 10:12:07,157.230.41.239,UP,216.615
2026-04-27 10:12:16,47.238.70.228,UP,196.878
2026-04-27 10:12:25,34.39.96.45,UP,75.696
2026-04-27 10:12:35,46.101.47.75,UP,77.232
2026-04-27 10:12:44,8.208.34.84,UP,79.769
2026-04-27 10:42:53,34.48.113.182,UP,0.926
2026-04-27 10:43:02,198.199.67.247,UP,7.988
2026-04-27 10:43:11,47.90.140.166,UP,2.377
2026-04-27 10:43:20,35.234.103.240,UP,88.902
2026-04-27 10:43:29,134.122.75.45,UP,89.905
2026-04-27 10:43:38,47.245.143.155,UP,88.548
2026-04-27 10:43:47,34.94.91.108,UP,63.245
2026-04-27 10:43:56,64.227.92.19,UP,61.095
2026-04-27 10:44:05,47.89.252.104,UP,62.466
2026-04-27 10:44:15,35.200.105.130,UP,146.704
2026-04-27 10:44:24,157.230.41.239,UP,215.269
2026-04-27 10:44:33,47.238.70.228,UP,199.078
2026-04-27 10:44:42,34.39.96.45,UP,75.245
2026-04-27 10:44:51,46.101.47.75,UP,77.548
2026-04-27 10:45:00,8.208.34.84,UP,80.317
2026-04-27 11:15:10,34.48.113.182,UP,0.835
2026-04-27 11:15:19,198.199.67.247,UP,7.312
2026-04-27 11:15:28,47.90.140.166,UP,2.660
2026-04-27 11:15:37,35.234.103.240,UP,88.910
2026-04-27 11:15:46,134.122.75.45,UP,89.184
2026-04-27 11:15:55,47.245.143.155,UP,89.023
2026-04-27 11:16:04,34.94.91.108,UP,61.559
2026-04-27 11:16:13,64.227.92.19,UP,61.565
2026-04-27 11:16:22,47.89.252.104,UP,63.299
2026-04-27 11:16:31,35.200.105.130,UP,146.539
2026-04-27 11:16:41,157.230.41.239,UP,215.037
2026-04-27 11:16:50,47.238.70.228,UP,199.265
2026-04-27 11:16:59,34.39.96.45,UP,75.472
2026-04-27 11:17:08,46.101.47.75,UP,77.046
2026-04-27 11:17:17,8.208.34.84,UP,79.296
2026-04-27 11:47:26,34.48.113.182,UP,0.866
2026-04-27 11:47:35,198.199.67.247,UP,8.399
2026-04-27 11:47:44,47.90.140.166,UP,2.399
2026-04-27 11:47:54,35.234.103.240,UP,88.981
2026-04-27 11:48:03,134.122.75.45,UP,91.038
2026-04-27 11:48:12,47.245.143.155,UP,88.040
2026-04-27 11:48:21,34.94.91.108,UP,63.518
2026-04-27 11:48:30,64.227.92.19,UP,61.073
2026-04-27 11:48:39,47.89.252.104,UP,63.655
2026-04-27 11:48:48,35.200.105.130,UP,147.191
2026-04-27 11:48:57,157.230.41.239,UP,217.183
2026-04-27 11:49:07,47.238.70.228,UP,199.389
2026-04-27 11:49:16,34.39.96.45,UP,75.712
2026-04-27 11:49:25,46.101.47.75,UP,76.411
2026-04-27 11:49:34,8.208.34.84,UP,79.629
2026-04-27 12:19:43,34.48.113.182,UP,0.800
2026-04-27 12:19:52,198.199.67.247,UP,7.654
2026-04-27 12:20:01,47.90.140.166,UP,2.554
2026-04-27 12:20:10,35.234.103.240,UP,88.864
2026-04-27 12:20:19,134.122.75.45,UP,90.577
2026-04-27 12:20:29,47.245.143.155,UP,88.641
2026-04-27 12:20:38,34.94.91.108,UP,62.169
2026-04-27 12:20:47,64.227.92.19,UP,62.490
2026-04-27 12:20:56,47.89.252.104,UP,63.085
2026-04-27 12:21:05,35.200.105.130,UP,149.269
2026-04-27 12:21:14,157.230.41.239,UP,216.737
2026-04-27 12:21:23,47.238.70.228,UP,201.754
2026-04-27 12:21:33,34.39.96.45,UP,76.314
2026-04-27 12:21:42,46.101.47.75,UP,76.523
2026-04-27 12:21:51,8.208.34.84,UP,79.815
2026-04-27 12:52:00,34.48.113.182,UP,1.024
2026-04-27 12:52:09,198.199.67.247,UP,7.629
2026-04-27 12:52:18,47.90.140.166,UP,2.375
2026-04-27 12:52:27,35.234.103.240,UP,87.704
2026-04-27 12:52:36,134.122.75.45,UP,89.466
2026-04-27 12:52:45,47.245.143.155,UP,88.822
2026-04-27 12:52:54,34.94.91.108,UP,61.335
2026-04-27 12:53:03,64.227.92.19,UP,61.940
2026-04-27 12:53:13,47.89.252.104,UP,63.651
2026-04-27 12:53:22,35.200.105.130,UP,146.954
2026-04-27 12:53:31,157.230.41.239,UP,214.890
2026-04-27 12:53:40,47.238.70.228,UP,197.375
2026-04-27 12:53:49,34.39.96.45,UP,75.882
2026-04-27 12:53:58,46.101.47.75,UP,76.054
2026-04-27 12:54:07,8.208.34.84,UP,80.142
2026-04-27 13:24:17,34.48.113.182,UP,0.814
2026-04-27 13:24:26,198.199.67.247,UP,7.588
2026-04-27 13:24:35,47.90.140.166,UP,2.613
2026-04-27 13:24:44,35.234.103.240,UP,88.779
2026-04-27 13:24:53,134.122.75.45,UP,89.462
2026-04-27 13:25:02,47.245.143.155,UP,88.911
2026-04-27 13:25:11,34.94.91.108,UP,61.755
2026-04-27 13:25:20,64.227.92.19,UP,61.164
2026-04-27 13:25:29,47.89.252.104,UP,62.815
2026-04-27 13:25:38,35.200.105.130,UP,149.096
2026-04-27 13:25:48,157.230.41.239,UP,217.598
