time,ip,status,avg_rtt_ms
2026-04-27 08:31:36,34.48.113.182,UP,217.875
2026-04-27 08:31:45,198.199.67.247,UP,249.699
2026-04-27 08:31:54,47.90.140.166,UP,228.676
2026-04-27 08:32:03,35.234.103.240,UP,234.016
2026-04-27 08:32:13,134.122.75.45,UP,154.045
2026-04-27 08:32:22,47.245.143.155,UP,163.045
2026-04-27 08:32:31,34.94.91.108,UP,163.564
2026-04-27 08:32:40,64.227.92.19,UP,175.050
2026-04-27 08:32:49,47.89.252.104,UP,177.628
2026-04-27 08:32:58,35.200.105.130,UP,76.514
2026-04-27 08:33:08,157.230.41.239,UP,0.041
2026-04-27 08:33:17,47.238.70.228,UP,33.242
2026-04-27 08:33:26,34.39.96.45,UP,224.361
2026-04-27 08:33:35,46.101.47.75,UP,168.084
2026-04-27 08:33:44,8.208.34.84,UP,163.826
2026-04-27 09:03:54,34.48.113.182,UP,217.200
2026-04-27 09:04:03,198.199.67.247,UP,249.710
2026-04-27 09:04:12,47.90.140.166,UP,228.668
2026-04-27 09:04:21,35.234.103.240,UP,235.444
2026-04-27 09:04:30,134.122.75.45,UP,154.091
2026-04-27 09:04:40,47.245.143.155,UP,158.798
2026-04-27 09:04:49,34.94.91.108,UP,164.415
2026-04-27 09:04:58,64.227.92.19,UP,174.925
2026-04-27 09:05:07,47.89.252.104,UP,177.671
2026-04-27 09:05:16,35.200.105.130,UP,74.578
2026-04-27 09:05:26,157.230.41.239,UP,0.043
2026-04-27 09:05:35,47.238.70.228,UP,34.075
2026-04-27 09:05:44,34.39.96.45,UP,225.055
2026-04-27 09:05:53,46.101.47.75,UP,168.081
2026-04-27 09:06:02,8.208.34.84,UP,163.802
2026-04-27 09:36:12,34.48.113.182,UP,214.917
2026-04-27 09:36:21,198.199.67.247,UP,249.721
2026-04-27 09:36:30,47.90.140.166,UP,228.679
2026-04-27 09:36:39,35.234.103.240,UP,228.501
2026-04-27 09:36:48,134.122.75.45,UP,154.137
2026-04-27 09:36:58,47.245.143.155,UP,158.776
2026-04-27 09:37:07,34.94.91.108,UP,173.418
2026-04-27 09:37:16,64.227.92.19,UP,174.948
2026-04-27 09:37:25,47.89.252.104,UP,190.240
2026-04-27 09:37:34,35.200.105.130,UP,76.160
2026-04-27 09:37:44,157.230.41.239,UP,0.045
2026-04-27 09:37:53,47.238.70.228,UP,33.256
2026-04-27 09:38:02,34.39.96.45,UP,226.392
2026-04-27 09:38:11,46.101.47.75,UP,168.186
2026-04-27 09:38:20,8.208.34.84,UP,163.814
2026-04-27 10:08:30,34.48.113.182,UP,214.366
2026-04-27 10:08:39,198.199.67.247,UP,249.754
2026-04-27 10:08:48,47.90.140.166,UP,228.687
2026-04-27 10:08:57,35.234.103.240,UP,223.672
2026-04-27 10:09:06,134.122.75.45,UP,155.081
2026-04-27 10:09:16,47.245.143.155,UP,158.750
2026-04-27 10:09:25,34.94.91.108,UP,165.855
2026-04-27 10:09:34,64.227.92.19,UP,174.928
2026-04-27 10:09:43,47.89.252.104,UP,179.343
2026-04-27 10:09:52,35.200.105.130,UP,75.343
2026-04-27 10:10:02,157.230.41.239,UP,0.040
2026-04-27 10:10:11,47.238.70.228,UP,33.706
2026-04-27 10:10:20,34.39.96.45,UP,224.132
2026-04-27 10:10:29,46.101.47.75,UP,172.019
2026-04-27 10:10:38,8.208.34.84,UP,164.020
2026-04-27 10:40:48,34.48.113.182,UP,215.194
2026-04-27 10:40:57,198.199.67.247,UP,249.695
2026-04-27 10:41:06,47.90.140.166,UP,228.701
2026-04-27 10:41:15,35.234.103.240,UP,231.786
2026-04-27 10:41:24,134.122.75.45,UP,154.063
2026-04-27 10:41:34,47.245.143.155,UP,158.743
2026-04-27 10:41:43,34.94.91.108,UP,163.462
2026-04-27 10:41:52,64.227.92.19,UP,174.974
2026-04-27 10:42:01,47.89.252.104,UP,173.982
2026-04-27 10:42:10,35.200.105.130,UP,74.023
2026-04-27 10:42:20,157.230.41.239,UP,0.040
2026-04-27 10:42:29,47.238.70.228,UP,33.319
2026-04-27 10:42:38,34.39.96.45,UP,227.280
2026-04-27 10:42:47,46.101.47.75,UP,167.965
2026-04-27 10:42:56,8.208.34.84,UP,163.810
2026-04-27 11:13:05,34.48.113.182,UP,217.567
2026-04-27 11:13:15,198.199.67.247,UP,249.706
2026-04-27 11:13:24,47.90.140.166,UP,228.709
2026-04-27 11:13:33,35.234.103.240,UP,233.539
2026-04-27 11:13:42,134.122.75.45,UP,154.116
2026-04-27 11:13:52,47.245.143.155,UP,158.743
2026-04-27 11:14:01,34.94.91.108,UP,163.443
2026-04-27 11:14:10,64.227.92.19,UP,174.984
2026-04-27 11:14:19,47.89.252.104,UP,177.196
2026-04-27 11:14:28,35.200.105.130,UP,76.511
2026-04-27 11:14:38,157.230.41.239,UP,0.047
2026-04-27 11:14:47,47.238.70.228,UP,34.362
2026-04-27 11:14:56,34.39.96.45,UP,230.117
2026-04-27 11:15:05,46.101.47.75,UP,168.405
2026-04-27 11:15:14,8.208.34.84,UP,163.919
2026-04-27 11:45:23,34.48.113.182,UP,217.104
2026-04-27 11:45:33,198.199.67.247,UP,249.848
2026-04-27 11:45:42,47.90.140.166,UP,228.660
2026-04-27 11:45:51,35.234.103.240,UP,239.535
2026-04-27 11:46:00,134.122.75.45,UP,154.196
2026-04-27 11:46:10,47.245.143.155,UP,158.798
2026-04-27 11:46:19,34.94.91.108,UP,163.356
2026-04-27 11:46:28,64.227.92.19,UP,174.957
2026-04-27 11:46:37,47.89.252.104,UP,179.902
2026-04-27 11:46:46,35.200.105.130,UP,76.406
2026-04-27 11:46:56,157.230.41.239,UP,0.043
2026-04-27 11:47:05,47.238.70.228,UP,33.290
2026-04-27 11:47:14,34.39.96.45,UP,228.156
2026-04-27 11:47:23,46.101.47.75,UP,168.009
2026-04-27 11:47:32,8.208.34.84,UP,163.823
2026-04-27 12:17:41,34.48.113.182,UP,217.379
2026-04-27 12:17:51,198.199.67.247,UP,249.705
2026-04-27 12:18:00,47.90.140.166,UP,228.681
2026-04-27 12:18:09,35.234.103.240,UP,244.106
2026-04-27 12:18:18,134.122.75.45,UP,155.999
2026-04-27 12:18:28,47.245.143.155,UP,158.786
2026-04-27 12:18:37,34.94.91.108,UP,163.444
2026-04-27 12:18:46,64.227.92.19,UP,175.101
2026-04-27 12:18:55,47.89.252.104,UP,179.851
2026-04-27 12:19:04,35.200.105.130,UP,76.163
2026-04-27 12:19:14,157.230.41.239,UP,0.049
2026-04-27 12:19:23,47.238.70.228,UP,33.286
2026-04-27 12:19:32,34.39.96.45,UP,225.398
2026-04-27 12:19:41,46.101.47.75,UP,168.001
2026-04-27 12:19:50,8.208.34.84,UP,163.807
2026-04-27 12:49:59,34.48.113.182,UP,215.101
2026-04-27 12:50:09,198.199.67.247,UP,249.928
2026-04-27 12:50:18,47.90.140.166,UP,228.887
2026-04-27 12:50:27,35.234.103.240,UP,235.700
2026-04-27 12:50:36,134.122.75.45,UP,154.109
2026-04-27 12:50:46,47.245.143.155,UP,158.750
2026-04-27 12:50:55,34.94.91.108,UP,163.599
2026-04-27 12:51:04,64.227.92.19,UP,175.011
2026-04-27 12:51:13,47.89.252.104,UP,174.097
2026-04-27 12:51:22,35.200.105.130,UP,76.501
2026-04-27 12:51:32,157.230.41.239,UP,0.048
2026-04-27 12:51:41,47.238.70.228,UP,33.294
2026-04-27 12:51:50,34.39.96.45,UP,228.308
2026-04-27 12:51:59,46.101.47.75,UP,169.129
2026-04-27 12:52:08,8.208.34.84,UP,163.927
2026-04-27 13:22:17,34.48.113.182,UP,218.455
2026-04-27 13:22:27,198.199.67.247,UP,249.732
2026-04-27 13:22:36,47.90.140.166,UP,228.688
2026-04-27 13:22:45,35.234.103.240,UP,242.560
