time,ip,status,avg_rtt_ms
2026-04-27 15:20:58,34.48.113.182,UP,76.561
2026-04-27 15:21:07,198.199.67.247,UP,73.181
2026-04-27 15:21:16,47.90.140.166,UP,76.361
2026-04-27 15:21:25,35.234.103.240,UP,15.522
2026-04-27 15:21:34,134.122.75.45,UP,15.367
2026-04-27 15:21:43,47.245.143.155,UP,14.964
2026-04-27 15:21:48,34.48.113.182,UP,76.863
2026-04-27 15:21:52,34.94.91.108,UP,136.095
2026-04-27 15:21:58,198.199.67.247,UP,68.503
2026-04-27 15:22:01,64.227.92.19,UP,142.622
2026-04-27 15:22:07,47.90.140.166,UP,76.308
2026-04-27 15:22:16,35.234.103.240,UP,15.574
2026-04-27 15:22:25,134.122.75.45,UP,14.307
2026-04-27 15:22:34,47.245.143.155,UP,14.907
2026-04-27 15:22:43,34.94.91.108,UP,136.118
2026-04-27 15:22:52,64.227.92.19,UP,142.678
2026-04-27 15:23:01,47.89.252.104,UP,136.348
2026-04-27 15:23:10,35.200.105.130,UP,215.405
2026-04-27 15:23:20,157.230.41.239,UP,168.093
2026-04-27 15:23:29,47.238.70.228,UP,192.732
2026-04-27 15:23:38,34.39.96.45,UP,2.600
2026-04-27 15:23:47,46.101.47.75,UP,0.037
2026-04-27 15:23:56,8.208.34.84,UP,3.080
2026-04-27 15:54:05,34.48.113.182,UP,77.136
2026-04-27 15:54:14,198.199.67.247,UP,68.531
2026-04-27 15:54:23,47.90.140.166,UP,76.423
2026-04-27 15:54:33,35.234.103.240,UP,15.521
2026-04-27 15:54:42,134.122.75.45,UP,14.443
2026-04-27 15:54:51,47.245.143.155,UP,14.967
2026-04-27 15:55:00,34.94.91.108,UP,138.989
2026-04-27 15:55:09,64.227.92.19,UP,142.779
2026-04-27 15:55:18,47.89.252.104,UP,137.217
2026-04-27 15:55:27,35.200.105.130,UP,218.141
2026-04-27 15:55:37,157.230.41.239,UP,168.075
2026-04-27 15:55:46,47.238.70.228,UP,192.824
2026-04-27 15:55:55,34.39.96.45,UP,2.472
2026-04-27 15:56:04,46.101.47.75,UP,0.041
2026-04-27 15:56:13,8.208.34.84,UP,3.204
2026-04-27 16:26:22,34.48.113.182,UP,76.137
2026-04-27 16:26:31,198.199.67.247,UP,68.528
2026-04-27 16:26:40,47.90.140.166,UP,76.402
2026-04-27 16:26:49,35.234.103.240,UP,15.704
2026-04-27 16:26:58,134.122.75.45,UP,14.320
2026-04-27 16:27:07,47.245.143.155,UP,14.954
2026-04-27 16:27:17,34.94.91.108,UP,138.157
2026-04-27 16:27:26,64.227.92.19,UP,142.738
2026-04-27 16:27:35,47.89.252.104,UP,136.401
2026-04-27 16:27:44,35.200.105.130,UP,218.871
2026-04-27 16:27:53,157.230.41.239,UP,168.034
2026-04-27 16:28:03,47.238.70.228,UP,192.741
2026-04-27 16:28:12,34.39.96.45,UP,2.409
2026-04-27 16:28:21,46.101.47.75,UP,0.060
2026-04-27 16:28:30,8.208.34.84,UP,3.103
2026-04-27 16:58:39,34.48.113.182,UP,77.550
2026-04-27 16:58:48,198.199.67.247,UP,68.535
2026-04-27 16:58:57,47.90.140.166,UP,76.376
2026-04-27 16:59:06,35.234.103.240,UP,15.657
2026-04-27 16:59:15,134.122.75.45,UP,14.377
2026-04-27 16:59:24,47.245.143.155,UP,14.878
2026-04-27 16:59:33,34.94.91.108,UP,136.762
2026-04-27 16:59:43,64.227.92.19,UP,142.651
2026-04-27 16:59:52,47.89.252.104,UP,137.175
2026-04-27 17:00:01,35.200.105.130,UP,219.163
2026-04-27 17:00:10,157.230.41.239,UP,169.801
2026-04-27 17:00:19,47.238.70.228,UP,192.846
2026-04-27 17:00:28,34.39.96.45,UP,3.017
2026-04-27 17:00:38,46.101.47.75,UP,0.038
2026-04-27 17:00:47,8.208.34.84,UP,3.057
2026-04-27 17:30:56,34.48.113.182,UP,76.525
2026-04-27 17:31:05,198.199.67.247,UP,69.224
2026-04-27 17:31:14,47.90.140.166,UP,76.524
2026-04-27 17:31:23,35.234.103.240,UP,15.478
2026-04-27 17:31:32,134.122.75.45,UP,14.285
2026-04-27 17:31:41,47.245.143.155,UP,14.904
2026-04-27 17:31:50,34.94.91.108,UP,136.410
2026-04-27 17:31:59,64.227.92.19,UP,142.708
2026-04-27 17:32:09,47.89.252.104,UP,137.181
2026-04-27 17:32:18,35.200.105.130,UP,218.038
2026-04-27 17:32:27,157.230.41.239,UP,168.115
2026-04-27 17:32:36,47.238.70.228,UP,192.708
2026-04-27 17:32:45,34.39.96.45,UP,2.712
2026-04-27 17:32:55,46.101.47.75,UP,0.055
2026-04-27 17:33:04,8.208.34.84,UP,3.066
2026-04-27 18:03:13,34.48.113.182,UP,77.188
2026-04-27 18:03:22,198.199.67.247,UP,68.548
2026-04-27 18:03:31,47.90.140.166,UP,76.439
2026-04-27 18:03:40,35.234.103.240,UP,15.388
2026-04-27 18:03:49,134.122.75.45,UP,14.239
2026-04-27 18:03:58,47.245.143.155,UP,14.965
2026-04-27 18:04:07,34.94.91.108,UP,136.377
2026-04-27 18:04:16,64.227.92.19,UP,142.701
2026-04-27 18:04:25,47.89.252.104,UP,137.153
2026-04-27 18:04:35,35.200.105.130,UP,218.471
2026-04-27 18:04:44,157.230.41.239,UP,168.078
2026-04-27 18:04:53,47.238.70.228,UP,192.842
2026-04-27 18:05:02,34.39.96.45,UP,2.603
2026-04-27 18:05:11,46.101.47.75,UP,0.046
2026-04-27 18:05:20,8.208.34.84,UP,3.085
2026-04-27 18:35:29,34.48.113.182,UP,76.873
2026-04-27 18:35:39,198.199.67.247,UP,68.579
2026-04-27 18:35:48,47.90.140.166,UP,76.379
2026-04-27 18:35:57,35.234.103.240,UP,15.548
2026-04-27 18:36:06,134.122.75.45,UP,14.280
2026-04-27 18:36:15,47.245.143.155,UP,14.956
2026-04-27 18:36:24,34.94.91.108,UP,136.619
2026-04-27 18:36:33,64.227.92.19,UP,142.669
2026-04-27 18:36:42,47.89.252.104,UP,136.355
2026-04-27 18:36:52,35.200.105.130,UP,216.505
2026-04-27 18:37:01,157.230.41.239,UP,168.037
2026-04-27 18:37:10,47.238.70.228,UP,192.321
